timeline_time,timeline_weekday,kw_demand_winter,kw_demand_spring,kw_demand_summer,kw_demand_autumn
00:00,Sun,0.314,0.228,0.17,0.22
00:30,Sun,0.24,0.236,0.222,0.15
01:00,Sun,0.25,0.282,0.178,0.192
01:30,Sun,0.246,0.206,0.16,0.152
02:00,Sun,0.326,0.246,0.182,0.208
02:30,Sun,0.232,0.3,0.222,0.124
03:00,Sun,0.256,0.278,0.132,0.156
03:30,Sun,0.27,0.234,0.162,0.17
04:00,Sun,0.286,0.23,0.222,0.184
04:30,Sun,0.232,0.332,0.184,0.136
05:00,Sun,0.238,0.34,0.156,0.136
05:30,Sun,0.308,0.276,0.182,0.194
06:00,Sun,0.266,0.25,0.22,0.198
06:30,Sun,0.27,0.33,0.138,0.206
07:00,Sun,0.224,0.244,0.162,0.718
07:30,Sun,0.32,0.272,0.214,1.304
08:00,Sun,0.246,0.618,0.184,0.448
08:30,Sun,0.27,0.612,0.152,0.434
09:00,Sun,0.238,0.928,0.176,0.824
09:30,Sun,0.292,0.662,0.22,0.62
10:00,Sun,0.216,0.398,0.146,0.316
10:30,Sun,0.268,0.25,0.162,0.292
11:00,Sun,0.274,0.246,0.212,0.332
11:30,Sun,0.282,0.352,0.198,0.376
12:00,Sun,0.242,0.554,0.148,0.518
12:30,Sun,0.194,0.416,0.178,0.53
13:00,Sun,0.288,0.324,0.22,0.256
13:30,Sun,0.252,0.562,0.144,0.316
14:00,Sun,0.226,0.962,0.16,0.222
14:30,Sun,0.266,0.502,0.206,0.254
15:00,Sun,0.566,0.562,0.194,0.264
15:30,Sun,0.558,0.57,0.146,0.274
16:00,Sun,1.258,0.504,0.176,0.256
16:30,Sun,0.828,0.526,0.218,0.206
17:00,Sun,0.894,1.704,0.146,0.31
17:30,Sun,1.136,0.826,0.162,0.458
18:00,Sun,1.944,0.892,0.206,2.03
18:30,Sun,1.634,0.618,0.194,1.292
19:00,Sun,1.572,1.73,0.146,0.734
19:30,Sun,1.072,1.19,0.176,2.0940002
20:00,Sun,1.242,0.68,0.22,0.944
20:30,Sun,1.17,0.692,0.146,0.766
21:00,Sun,1.942,0.702,0.16,0.736
21:30,Sun,0.722,0.692,0.204,0.748
22:00,Sun,0.728,0.638,0.194,0.666
22:30,Sun,0.714,0.524,0.144,0.312
23:00,Sun,0.422,0.548,0.172,0.184
23:30,Sun,0.346,0.446,0.222,0.196
00:00,Mon,0.234,0.438,0.152,0.186
00:30,Mon,0.25,0.198,0.164,0.242
01:00,Mon,0.238,0.222,0.198,0.15
01:30,Mon,0.302,0.148,0.198,0.19
02:00,Mon,0.232,0.168,0.142,0.216
02:30,Mon,0.27,0.168,0.17,0.236
03:00,Mon,0.248,0.222,0.222,0.188
03:30,Mon,0.298,0.136,0.154,0.17
04:00,Mon,0.238,0.198,0.16,0.26
04:30,Mon,0.212,0.236,0.194,0.224
05:00,Mon,0.312,0.236,0.2,0.216
05:30,Mon,0.242,0.244,0.138,0.224
06:00,Mon,0.226,0.224,0.164,0.272
06:30,Mon,0.244,0.276,0.22,0.222
07:00,Mon,0.296,0.28,0.154,0.41
07:30,Mon,0.2,0.21,0.16,0.534
08:00,Mon,0.496,0.32,0.184,1.348
08:30,Mon,0.762,0.658,0.198,0.686
09:00,Mon,0.442,0.512,0.138,0.694
09:30,Mon,0.976,0.618,0.16,0.384
10:00,Mon,0.718,0.442,0.222,0.354
10:30,Mon,0.476,0.37,0.154,0.3
11:00,Mon,0.324,0.272,0.158,0.64
11:30,Mon,0.33,0.292,0.194,0.732
12:00,Mon,0.252,0.828,0.212,0.484
12:30,Mon,0.258,1.108,0.13,0.614
13:00,Mon,0.312,0.264,0.162,0.362
13:30,Mon,0.298,0.216,0.224,1.002
14:00,Mon,0.222,0.298,0.17,1.202
14:30,Mon,0.248,0.416,0.164,0.578
15:00,Mon,0.25,0.35,0.184,0.16
15:30,Mon,0.308,0.47,0.214,0.204
16:00,Mon,0.542,0.562,0.124,0.174
16:30,Mon,0.506,0.496,0.16,0.194
17:00,Mon,1.006,1.126,0.22,0.418
17:30,Mon,0.746,0.68,0.168,0.874
18:00,Mon,0.606,1.97,0.16,2.034
18:30,Mon,0.932,0.632,0.172,1.3
19:00,Mon,2.392,0.788,0.216,0.824
19:30,Mon,1.278,0.576,0.216,1.552
20:00,Mon,0.758,2.072,0.198,1.392
20:30,Mon,0.72,0.972,0.2,0.688
21:00,Mon,1.798,0.716,0.198,0.628
21:30,Mon,1.272,0.562,0.148,0.334
22:00,Mon,0.686,0.308,0.16,0.218
22:30,Mon,0.722,0.166,0.218,0.25
23:00,Mon,0.728,0.164,0.15,0.188
23:30,Mon,0.368,0.204,0.16,0.15
00:00,Tue,0.34,0.226,0.192,0.162
00:30,Tue,0.262,0.158,0.2,0.222
