serial,pnum,daynum,DiaryType,DDAY,DMONTH,DYEAR,DiaryDay_Act,act1_1,act1_2,act1_3,act1_4,act1_5,act1_6,act1_7,act1_8,act1_9,act1_10,act1_11,act1_12,act1_13,act1_14,act1_15,act1_16,act1_17,act1_18,act1_19,act1_20,act1_21,act1_22,act1_23,act1_24,act1_25,act1_26,act1_27,act1_28,act1_29,act1_30,act1_31,act1_32,act1_33,act1_34,act1_35,act1_36,act1_37,act1_38,act1_39,act1_40,act1_41,act1_42,act1_43,act1_44,act1_45,act1_46,act1_47,act1_48,act1_49,act1_50,act1_51,act1_52,act1_53,act1_54,act1_55,act1_56,act1_57,act1_58,act1_59,act1_60,act1_61,act1_62,act1_63,act1_64,act1_65,act1_66,act1_67,act1_68,act1_69,act1_70,act1_71,act1_72,act1_73,act1_74,act1_75,act1_76,act1_77,act1_78,act1_79,act1_80,act1_81,act1_82,act1_83,act1_84,act1_85,act1_86,act1_87,act1_88,act1_89,act1_90,act1_91,act1_92,act1_93,act1_94,act1_95,act1_96,act1_97,act1_98,act1_99,act1_100,act1_101,act1_102,act1_103,act1_104,act1_105,act1_106,act1_107,act1_108,act1_109,act1_110,act1_111,act1_112,act1_113,act1_114,act1_115,act1_116,act1_117,act1_118,act1_119,act1_120,act1_121,act1_122,act1_123,act1_124,act1_125,act1_126,act1_127,act1_128,act1_129,act1_130,act1_131,act1_132,act1_133,act1_134,act1_135,act1_136,act1_137,act1_138,act1_139,act1_140,act1_141,act1_142,act1_143,act1_144
11011210,1,2,1,13,12,2014,7,3,3,3,3,1,3,3,3,3,3,13,8,3,3,3,3,4,13,11,5,14,4,13,11,11,11,11,11,13,13,13,16,16,15,16,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,16,16,15,16,16,14,14,14,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,16,16,16,16,13,6,5,14,14,13,14,2,13,2,2,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011210,2,1,1,11,12,2014,5,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,11,10,14,7,7,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,14,2,10,11,11,10,10,10,13,6,4,13,13,13,13,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,16,14,13,8,8,8,8,8,8,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011210,2,2,1,13,12,2014,7,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,4,10,13,3,3,3,3,3,3,11,11,11,11,2,2,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,16,15,16,16,14,11,13,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,16,16,16,16,2,2,4,4,4,4,4,4,4,4,4,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011211,1,1,1,14,12,2014,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,4,8,2,2,2,10,10,10,6,9,9,11,11,2,2,2,16,1,1,1,2,2,2,16,15,16,2,2,2,2,2,10,10,10,10,10,11,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,2,2,2,2,9,9,9,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,8,8,11,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011211,1,2,1,15,12,2014,2,3,3,3,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,10,10,2,10,2,2,2,2,2,2,11,16,16,16,1,1,1,1,1,1,1,1,1,1,1,1,16,16,9,9,9,9,9,9,9,10,2,2,2,2,2,1,1,1,1,1,1,11,2,2,2,9,9,14,14,4,4,4,4,4,10,10,2,2,8,16,16,16,16,16,1,1,1,1,1,1,1,1,1,1,16,16,16,16,8,8,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011211,2,1,1,14,12,2014,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,10,10,10,10,10,4,4,4,4,11,11,16,16,9,14,14,14,14,2,16,16,11,11,11,11,1,1,1,1,1,1,16,16,14,14,11,11,11,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,16,2,9,9,9,9,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011211,2,2,1,15,12,2014,2,3,3,10,10,10,10,10,10,10,10,1,3,3,3,3,3,3,3,3,3,3,3,2,10,10,6,11,11,1,1,1,1,9,2,2,2,2,2,2,2,2,2,16,15,15,15,15,15,15,15,15,15,1,1,1,1,1,16,4,4,14,2,1,1,1,1,14,14,2,14,14,4,2,2,2,2,2,2,2,2,2,2,10,10,8,8,8,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,3,3,3,3,3,3,3,3
11011212,1,1,1,10,1,2015,7,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,10,8,8,8,8,8,11,11,11,4,4,10,10,13,5,5,2,2,2,2,2,2,2,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,10,10,10,10,2,2,2,2,2,2,2,2,4,4,4,4,4,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011212,1,2,1,12,1,2015,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,14,11,10,8,4,4,4,13,13,13,13,11,11,11,11,11,5,6,14,14,14,14,10,2,2,16,16,16,16,16,16,16,16,16,15,15,15,16,4,4,10,10,10,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,4,4,4,4,4,4,4,4,4,4,13,10,10,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,2,2,2,2,2,2,5,5,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11011212,2,1,1,10,1,2015,7,3,3,3,3,3,3,3,3,3,3,3,11,10,1,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,10,10,10,10,10,10,12,12,12,12,12,10,10,1,1,1,1,1,1,1,10,10,12,12,12,2,10,2,14,2,6,2,6,6,6,6,10,10,10,2,8,8,8,8,8,8,8,8,8,8,8,8,8,2,4,14,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
