region,month,season,00--01,01--02,02--03,03--04,04--05,05--06,06--07,07--08,08--09,09--10,10--11,11--12,12--13,13--14,14--15,15--16,16--17,17--18,18--19,19--20,20--21,21--22,22--23,23--00
all,1,winter,60.9283870967742,59.031935483870974,54.972903225806455,53.41322580645163,52.805483870967755,56.69290322580647,65.66967741935484,67.46516129032258,71.25967741935483,74.22032258064516,74.00129032258064,71.4858064516129,71.67225806451613,70.46193548387097,68.44612903225807,67.58612903225806,83.30483870967741,97.97903225806452,88.04774193548387,81.26967741935486,69.71516129032256,64.89258064516127,59.8148387096774,61.26548387096772
all,2,winter,52.741538461538475,53.15653846153845,48.07807692307692,45.830384615384624,45.01846153846155,50.126153846153834,57.70500000000003,59.82846153846154,63.389999999999986,64.78115384615386,58.50384615384613,54.24230769230769,53.13884615384616,50.91192307692308,50.97076923076924,52.47038461538462,58.454230769230776,75.80807692307694,83.89192307692306,72.89615384615385,60.58846153846155,54.175769230769234,48.70384615384614,50.71576923076923
all,3,spring,50.171290322580646,48.70799999999999,44.56193548387097,41.16451612903224,40.13161290322579,44.15677419354839,51.511935483870964,53.53225806451612,56.01806451612902,57.24225806451613,52.39096774193549,49.23516129032258,49.368387096774185,46.93354838709677,45.954193548387096,44.91,50.19516129032259,59.609677419354824,78.40870967741934,73.09064516129031,57.574193548387086,50.99387096774193,45.12000000000002,48.09838709677419
all,4,spring,41.201666666666675,40.95466666666667,41.96566666666666,41.941,41.492000000000004,46.426666666666655,52.25833333333333,55.233,61.557333333333325,61.721999999999994,55.950666666666656,50.288666666666664,46.423,42.925000000000004,41.193999999999996,41.84366666666666,46.84566666666667,56.20833333333334,61.82333333333333,64.533,66.25466666666668,57.42833333333333,46.221666666666664,50.16066666666666
all,5,spring,42.56916666666667,41.02194444444444,39.269444444444446,37.9286111111111,37.62944444444445,40.670833333333334,46.523055555555565,51.67277777777778,55.91555555555556,54.56361111111111,50.96333333333333,49.403055555555554,48.03027777777779,44.133611111111115,41.31694444444444,41.58472222222222,46.8663888888889,53.41749999999999,57.998333333333335,59.105000000000004,57.78555555555556,55.438333333333354,45.78388888888889,49.775555555555556
all,6,summer,43.13281249999999,42.8121875,36.20937500000001,34.8225,33.36000000000001,35.1496875,40.9953125,43.59562499999999,47.87031250000001,50.3996875,48.68125,47.064062500000006,44.514375,39.7409375,36.7821875,36.768125,43.745312500000004,51.1259375,55.73156249999999,55.815625000000004,51.573750000000004,47.28500000000001,40.86,54.80874999999999
all,7,summer,41.25451612903226,38.224838709677414,36.76806451612904,35.89258064516129,35.892258064516135,38.03387096774194,44.20387096774195,46.306774193548385,51.75967741935484,53.14645161290321,49.31903225806452,48.09580645161291,46.59548387096773,41.363870967741924,39.77322580645161,40.40645161290323,46.58064516129031,53.27032258064516,56.94000000000001,56.89903225806451,52.9941935483871,51.609032258064516,44.85225806451612,46.52290322580646
all,8,summer,36.31999999999999,32.56064516129033,29.956129032258076,28.684516129032257,29.978064516129034,34.25838709677419,39.95935483870967,42.6232258064516,47.47870967741936,48.63612903225807,46.16,43.42000000000001,41.454838709677425,38.199354838709674,36.3632258064516,36.40096774193549,41.925483870967746,49.034838709677416,54.440322580645145,54.39,52.46677419354838,50.06903225806454,41.2541935483871,42.62870967741936
all,9,autumn,32.785,30.131333333333334,27.72066666666666,26.015999999999995,27.899333333333335,36.238000000000014,41.94066666666666,44.94500000000001,47.334999999999994,47.225333333333325,44.50666666666667,41.772,40.058666666666674,37.56033333333334,35.81333333333334,35.80133333333334,41.89533333333335,48.28399999999999,54.299666666666674,58.199666666666666,53.25933333333334,43.995,36.17933333333333,39.70933333333333
all,10,autumn,32.21709677419354,32.32064516129034,29.838500000000003,29.9283870967742,30.140967741935494,34.81322580645162,41.853548387096765,45.63516129032259,48.68419354838711,49.93741935483871,49.00387096774195,45.67354838709677,42.54677419354839,39.871290322580656,39.00322580645161,40.05290322580645,44.17967741935484,51.046451612903226,60.687096774193556,59.382903225806466,48.32548387096773,41.563870967741934,36.228709677419346,36.41258064516129
all,11,autumn,45.491666666666674,42.55933333333334,40.320357142857155,36.93566666666666,36.51333333333332,41.792333333333325,49.67566666666666,49.54933333333333,52.48566666666667,54.68433333333333,54.166333333333334,53.551999999999985,54.41633333333335,54.39533333333335,54.15866666666667,53.78866666666667,67.73233333333333,79.47366666666669,67.51166666666667,59.845000000000006,52.50533333333335,49.69266666666667,45.390666666666675,46.429333333333325
all,12,winter,40.65483870967742,37.18000000000001,31.964516129032255,29.514516129032256,28.019677419354835,33.74548387096774,42.42129032258064,43.94,48.594193548387096,50.861935483870965,49.78290322580645,49.1741935483871,49.16193548387097,48.841612903225816,48.01677419354838,48.84516129032258,64.41548387096772,69.3835483870968,59.984193548387104,55.04451612903225,49.05870967741934,45.58580645161292,40.46451612903226,42.73451612903225
