region,month,season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
all,1,winter,397.2726487,334.1685376,320.0412553,311.6784276,315.3106851,321.3191455,337.0684168,362.4680667,416.4653832,510.779841,737.165373,1090.585702,1681.64544,2263.201984,2606.586222,2613.062116,2486.708944,2294.006067,2096.788737,1937.694713,1804.773084,1734.001246,1688.62787,1689.260677,1752.330929,1748.761979,1725.784308,1716.197532,1730.826583,1801.969452,1960.207279,2155.712794,2492.229193,2691.688693,2776.351004,2694.753595,2649.988539,2541.049555,2441.234914,2295.348211,2146.094601,1978.457764,1751.253431,1485.780519,1125.728206,794.7628397,565.5501952,439.1483008
all,2,winter,366.4185003,307.0389196,296.089444,292.3296431,297.5818978,308.5620478,323.6358544,348.9678906,408.3737023,513.8785612,742.2805578,1127.653994,1740.85436,2319.928039,2609.917773,2557.648072,2354.977772,2088.408173,1846.244378,1661.653687,1513.087701,1423.107131,1387.502762,1395.126654,1454.98916,1423.325572,1387.116233,1372.066118,1387.189384,1446.716317,1592.922702,1819.60993,2201.380703,2461.684407,2613.546714,2580.176274,2535.769665,2417.417192,2297.492784,2163.970053,2021.769973,1849.54984,1627.082673,1364.746697,1022.139912,715.2169253,506.1879829,395.7455986
all,3,spring,291.4225239,235.9419209,226.5661881,221.7601481,223.4417443,230.909838,243.7362857,263.6840459,315.9968507,408.7979725,621.0836838,980.5883339,1558.018482,2114.765482,2365.262114,2269.911511,2043.925154,1733.805402,1462.732142,1256.671989,1105.965376,1011.499907,971.2212029,973.8445246,1025.742905,989.6661587,955.3931051,936.1345782,951.6826252,988.4872088,1123.851298,1313.240537,1675.476346,1940.473803,2112.207308,2142.203203,2197.339653,2107.587184,1999.147637,1868.130024,1741.9277,1590.875065,1400.086707,1172.334648,880.088376,614.9128888,432.7442282,326.1839119
all,4,spring,311.7892682,236.021216,190.5118095,166.7757897,162.3709362,156.7256853,157.8942802,163.6108813,176.0223919,193.0756902,224.6419643,294.7189951,443.960427,727.10667,1197.524779,1634.699804,1828.674117,1717.029061,1513.217999,1253.490219,1046.874483,879.9867792,766.1918905,693.0604581,652.2443665,653.4985174,689.9566286,645.7444922,614.5198805,585.7740554,571.0008393,583.0580126,648.5008125,763.9295407,1012.532305,1178.66783,1277.022811,1285.077829,1338.723054,1328.49145,1342.543243,1328.109673,1296.363374,1181.952781,1027.125666,851.2446929,637.6931367,443.9123371
all,5,spring,216.9405619,164.8346384,138.0862421,118.3891915,112.7954071,107.5646161,108.2693995,111.3473037,116.4769723,127.1293318,148.6226642,205.3876723,313.1403348,516.9714234,849.524943,1137.967411,1227.206316,1125.834134,978.6205293,798.3346246,672.0913358,567.1308205,502.5407389,457.5837596,441.1211093,451.3542163,485.3373286,455.9937381,434.7683678,415.1344742,410.5106154,417.5415498,455.6529119,539.7861977,718.2720721,852.047905,905.4656772,894.9166561,916.5438544,878.1009599,856.649277,827.1653937,800.8936698,753.6111944,678.4743962,567.1050508,435.0255675,306.7991145
all,6,summer,122.4597698,93.22073085,72.19523864,61.03291032,55.18947349,50.17285529,49.25876639,49.29537141,49.3773973,53.51634942,63.55976973,85.55833828,137.7259472,212.0905012,340.592468,477.9684603,522.9593118,497.1855635,465.2120247,402.4334562,360.1401024,319.4331695,289.1834196,264.963695,255.431097,252.2808298,281.1889996,261.0301035,242.566488,226.6320163,212.7262953,209.5294295,221.32246,258.9999502,360.669187,455.9013911,512.8267193,488.7728919,509.4894944,473.7081776,444.9929773,402.9471115,370.9629962,332.754051,300.0393279,260.4281944,218.524515,165.3423552
all,7,summer,98.32808093,75.51681945,61.49032091,51.43620955,47.3864207,42.1828493,40.69875891,40.33798968,41.16071912,43.24233586,52.79181953,71.09474099,110.4829333,169.5242023,273.5447157,387.8718978,428.2014873,398.9779086,373.1328426,329.3096427,294.9521514,258.9448679,231.8035175,210.3123964,199.4410529,200.5590127,224.4067036,203.4814954,187.2719628,174.1695985,165.1791712,158.2179937,170.0543809,203.5131175,281.7143515,365.8963292,404.3596452,389.7148662,403.3702245,377.1360706,344.2896719,304.7190805,287.3459804,252.2645201,231.5709859,198.6316924,170.2153456,131.8051918
all,8,summer,89.78296843,67.86055437,54.16298364,46.25701914,43.27623757,39.23494477,36.91974362,37.25570116,38.0344936,39.64234297,49.55972171,63.26662125,97.81932539,144.4211179,235.7340656,325.5462725,368.9592883,353.8439814,336.9776349,300.8783078,272.9272585,243.3315949,215.425839,198.8547808,186.544327,185.7962481,204.4605312,184.4416036,173.4289382,161.1078308,153.4491169,147.3392141,159.6832917,190.4553753,267.1481158,335.1080891,374.3811571,360.0559692,374.8619183,349.2637314,325.3527389,294.7944753,272.2078323,239.5861396,211.3696794,177.9390786,151.1953675,117.1181912
all,9,autumn,138.041885,102.0807304,81.3487106,69.33787677,65.99516133,61.20126088,58.81082059,59.7269695,61.11409323,65.21107852,77.93703663,103.9180207,164.2553839,266.3994014,446.133846,614.1110258,712.2286,672.1600008,591.7077329,495.8383966,418.6505442,354.1405944,309.8268074,276.6875024,259.2530793,261.6535654,286.6380808,261.545934,246.9469673,233.3715209,226.6054899,227.7457759,246.4845257,297.4486612,414.0287035,512.2534547,575.4500168,576.7808719,617.3706466,617.8127517,604.1416313,554.6630759,503.4977844,440.4884562,382.4493769,318.2780847,254.9208969,187.7040852
all,10,autumn,278.0699437,207.7131684,167.8194038,145.5159928,138.9270062,136.6537196,135.8881433,139.8428289,152.0362762,177.9637745,236.9919209,335.4670605,527.0762576,794.674346,1160.333677,1429.262617,1552.368218,1449.041549,1276.305476,1080.386097,913.0370404,784.2803535,703.0730564,650.1140539,642.5901941,633.6274586,667.1398172,647.5286192,635.822723,630.9444462,658.3720863,709.8726622,833.5348532,990.5132622,1235.045248,1410.318607,1517.011854,1514.738709,1548.230702,1484.548448,1388.646728,1268.45812,1149.211415,1015.453751,862.8778956,703.3901659,532.9400283,374.0789073
