"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,23373,26777,26745,29985,26901,31089,28447,,24200,25246,22354
Mon 00:30,22232,25106,26298,29670,26722,31079,28370,24060,22783,23942,21104
Mon 01:00,21629,24021,26524,29888,27038,31569,28792,23612,22064,22855,20224
Mon 01:30,21763,23111,26108,29616,26995,31629,28800,24167,22010,22275,19905
Mon 02:00,22108,22399,25297,28862,26389,31055,28289,25033,22210,21830,19597
Mon 02:30,21834,21887,24705,28189,25937,30693,27859,25172,22030,21288,19242
Mon 03:00,21465,21631,24406,28231,25758,30813,27689,24978,21675,20791,18916
Mon 03:30,21247,21374,23946,27954,25310,30484,27035,24640,21433,20446,18733
Mon 04:00,21048,21130,23287,27350,24902,30015,26579,24455,21074,20321,18677
Mon 04:30,21015,21220,22893,26844,24575,29688,26285,24139,20763,20104,18756
Mon 05:00,21244,21555,22913,26753,24664,29746,26115,24173,20696,19351,18947
Mon 05:30,22097,22517,23625,26963,25457,30361,26823,24694,20676,19095,19242
Mon 06:00,23527,23713,24637,27533,26848,31771,28364,25852,20651,19128,19744
Mon 06:30,26729,26821,26968,29344,30184,35305,31670,28759,21759,19600,21941
Mon 07:00,30387,29353,29546,30912,33738,39053,34403,31133,22765,20197,24169
Mon 07:30,34922,32082,32967,32736,38095,43533,37649,34394,23942,21111,26769
Mon 08:00,36880,33701,34914,33879,40520,45474,39113,36736,24884,22257,28764
Mon 08:30,37507,35350,36924,35573,41407,46411,40103,37979,26088,23861,30561
Mon 09:00,37219,36298,38214,37493,41239,46679,40342,38011,26827,25297,31632
Mon 09:30,37481,36819,39311,39260,41930,47679,41001,38314,27772,26951,32188
Mon 10:00,37480,36857,39494,40054,42524,47980,41269,38127,28303,27929,32279
Mon 10:30,37562,36811,39478,40621,42689,48068,41391,37767,28566,28686,32183
Mon 11:00,37605,36645,39688,40629,42898,48161,41644,37495,28404,29018,32119
Mon 11:30,37663,36934,39810,40563,43162,48190,42039,37497,28169,29206,32011
Mon 12:00,37809,37081,39896,40646,43220,48015,42565,37672,27958,29084,31969
Mon 12:30,37785,37273,40043,40664,43438,48095,42961,37710,27882,29258,31995
Mon 13:00,37406,37080,40074,40501,43393,47807,42793,37380,27693,29060,31708
Mon 13:30,37159,36877,40065,40164,43345,47558,42477,37293,27453,28354,31408
Mon 14:00,36874,36843,40009,40088,43339,47360,42103,37303,27193,27556,31162
Mon 14:30,36872,36893,40031,40229,43413,47403,41978,37664,27312,27143,31041
Mon 15:00,36776,36809,40020,40236,43325,47242,41700,37829,27470,26797,31027
Mon 15:30,36710,37175,40435,40688,43475,47181,41400,37988,28025,26724,30961
Mon 16:00,37495,37755,41464,41539,44675,47761,41762,38638,28974,26915,31119
Mon 16:30,38617,38928,43299,43501,46758,48500,42584,39604,30156,27391,31661
Mon 17:00,39767,41156,44904,46511,49199,49758,43562,40524,31553,27952,32253
Mon 17:30,40690,43901,45530,47666,49857,51372,44365,41233,32813,28411,32909
Mon 18:00,41495,44418,45433,47765,49682,52264,45049,41645,33671,28787,33150
Mon 18:30,42933,43973,44775,47125,49272,51892,46366,41667,33981,28849,33104
Mon 19:00,43499,43045,43959,46672,48445,52192,46586,41920,34103,28992,32888
Mon 19:30,42599,41653,42945,45341,47122,51492,45830,41795,33948,29152,32409
Mon 20:00,41148,40082,41514,44092,45605,50244,44349,41970,33553,29063,31943
Mon 20:30,39701,38734,40409,42891,43989,48686,42834,41465,33353,29072,31553
Mon 21:00,37813,36993,39074,41216,42233,46898,41098,40051,33516,28664,31237
Mon 21:30,36054,35356,37655,39940,40056,44830,39009,38438,33686,28545,31726
Mon 22:00,33852,33190,35734,37974,37612,42326,36822,36185,32337,28353,31306
Mon 22:30,31662,31296,34003,36120,35462,40037,34623,33807,30597,28528,29817
Mon 23:00,29247,29291,32130,34454,33346,37641,32350,31463,28621,27276,27872
Mon 23:30,26957,27417,29871,32359,30936,35054,30109,28922,26605,25285,25611
Tue 00:00,24866,25959,28250,30912,29391,33661,28732,27226,24913,23539,23956
Tue 00:30,23444,25190,27719,30428,29234,33455,28450,25679,23707,22140,22439
Tue 01:00,22557,24899,27685,30523,29473,33791,28763,25163,23046,21328,21471
Tue 01:30,22439,24279,27129,30102,29263,33531,28903,25667,23047,20943,20944
Tue 02:00,22752,23448,26248,29394,28639,33029,28451,26424,23402,20804,20566
Tue 02:30,22526,22953,25297,28742,28249,32583,27973,26374,23143,20499,20168
Tue 03:00,22143,22837,25193,28648,28098,32627,27951,26115,22661,20213,19748
Tue 03:30,21617,22397,24585,28219,27657,32271,27543,25821,22446,20061,19548
Tue 04:00,21377,22004,23850,27643,27172,31829,27026,25665,22175,20062,19487
Tue 04:30,21349,21978,23480,27142,26733,31537,26799,25473,21921,20091,19428
Tue 05:00,21544,22203,23496,27087,26628,31564,27015,25347,21979,19744,19440
Tue 05:30,22327,23082,24150,27333,27247,32148,27728,25699,22414,20097,19702
Tue 06:00,23482,24417,25137,27942,28566,33422,29076,26503,23067,21138,20080
Tue 06:30,26374,27313,27649,29589,31908,36640,32554,29232,25971,23698,22084
Tue 07:00,29982,29632,30108,31099,35417,40342,35542,31398,28955,26374,24031
Tue 07:30,34253,32160,33043,32952,39784,44585,38909,34495,32887,29262,26426
Tue 08:00,36167,33943,35027,34067,42250,46311,40148,36509,35001,31083,28121
Tue 08:30,36974,35281,36866,35766,42879,46978,40578,37663,35914,32359,29630
Tue 09:00,36519,36050,37974,37607,42531,47055,40292,37591,35688,32647,30196
Tue 09:30,36698,36441,38872,39306,42934,48032,40131,37722,35967,33033,30670
Tue 10:00,36512,36413,39100,40109,42932,48154,39492,37282,35722,33195,30470
Tue 10:30,36288,36162,39100,40573,42836,47874,38987,36621,35280,33369,30272
Tue 11:00,36344,36113,39265,40569,42901,47645,38668,36336,34904,33524,30289
Tue 11:30,36254,36345,39238,40327,43175,47301,38498,36161,34670,33781,30561
Tue 12:00,36080,36477,39344,40165,43427,46949,38539,35991,34396,33842,30704
Tue 12:30,36151,36750,39453,40127,43802,46651,38546,36119,34227,33915,30900
Tue 13:00,35987,36711,39323,39896,43930,46277,38275,36173,33766,33818,30802
Tue 13:30,35831,36621,39121,39643,43841,45835,37911,35939,33206,33633,30636
Tue 14:00,35527,36717,39083,39432,43805,45615,37731,35597,32862,33365,30423
Tue 14:30,35437,36938,39216,39583,43692,45825,37953,35512,32870,33227,30356
Tue 15:00,35407,37193,39159,39663,43495,45644,37927,35280,32539,33279,30245
Tue 15:30,35351,37566,39348,40069,43570,45714,38019,35201,32524,33055,30256
Tue 16:00,36046,38221,40177,41043,44475,46518,38936,35926,33053,33452,30360
Tue 16:30,37246,39443,42099,43071,46192,47602,40037,36558,33822,34144,30848
Tue 17:00,38407,41937,43831,45804,48501,49109,41492,37223,34829,34859,31796
Tue 17:30,39481,45003,44509,47044,49143,51030,42815,38148,35481,35192,32457
Tue 18:00,40552,45338,44579,47033,48791,51450,43716,38724,35600,35088,32537
Tue 18:30,42309,44827,44288,46498,48673,51218,46141,38853,35659,35176,32376
Tue 19:00,43378,43879,43465,45885,48491,50798,47568,39314,35521,34670,32348
Tue 19:30,42569,42655,42343,44694,47705,50625,47172,39451,35288,34045,31865
Tue 20:00,41226,41265,41077,43314,46372,49645,45986,40379,34993,33589,31449
Tue 20:30,39997,40059,40042,42112,45035,48542,44560,41144,34850,32947,31526
Tue 21:00,38290,38480,38437,40406,43300,46401,42635,40092,34910,32194,31477
Tue 21:30,36656,36793,36951,38907,41390,44419,40969,38587,34938,31915,31836
Tue 22:00,34675,34640,35108,37075,39019,41855,38545,36568,33430,31561,31110
