"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,0.44721,0.51234,0.51173,0.57372,0.51471,0.59485,0.54429,,0.46303,0.48305,0.42771
Mon 00:30,0.42538,0.48037,0.50318,0.56769,0.51129,0.59465,0.54282,0.46036,0.43592,0.4581,0.4038
Mon 01:00,0.41384,0.45961,0.5075,0.57187,0.51734,0.60403,0.5509,0.45178,0.42216,0.4373,0.38696
Mon 01:30,0.41641,0.4422,0.49954,0.56666,0.51651,0.60518,0.55105,0.4624,0.42113,0.4262,0.38085
Mon 02:00,0.42301,0.42857,0.48402,0.55223,0.50492,0.59419,0.54127,0.47897,0.42496,0.41769,0.37496
Mon 02:30,0.41776,0.41878,0.4727,0.53936,0.49627,0.58727,0.53304,0.48163,0.42151,0.40732,0.36817
Mon 03:00,0.4107,0.41388,0.46698,0.54016,0.49284,0.58956,0.52979,0.47792,0.41472,0.39781,0.36193
Mon 03:30,0.40653,0.40896,0.45817,0.53486,0.48427,0.58327,0.51728,0.47145,0.41009,0.39121,0.35843
Mon 04:00,0.40272,0.40429,0.44556,0.5233,0.47647,0.5743,0.50855,0.46791,0.40322,0.38881,0.35736
Mon 04:30,0.40209,0.40602,0.43803,0.51362,0.47021,0.56804,0.50293,0.46187,0.39727,0.38466,0.35887
Mon 05:00,0.40647,0.41243,0.43841,0.51188,0.47191,0.56915,0.49967,0.46252,0.39599,0.37025,0.36252
Mon 05:30,0.4228,0.43083,0.45203,0.5159,0.48708,0.58092,0.51322,0.47249,0.39561,0.36536,0.36817
Mon 06:00,0.45016,0.45372,0.4714,0.52681,0.5137,0.60789,0.54271,0.49464,0.39513,0.36599,0.37777
Mon 06:30,0.51142,0.51318,0.516,0.56146,0.57753,0.67551,0.60596,0.55026,0.41633,0.37502,0.41981
Mon 07:00,0.58141,0.56163,0.56532,0.59146,0.64553,0.74723,0.65825,0.59569,0.43558,0.38644,0.46244
Mon 07:30,0.66818,0.61385,0.63078,0.62636,0.7289,0.83294,0.72036,0.65808,0.4581,0.40393,0.51219
Mon 08:00,0.70565,0.64482,0.66803,0.64823,0.77529,0.87008,0.74837,0.70289,0.47612,0.42586,0.55036
Mon 08:30,0.71765,0.67637,0.70649,0.68064,0.79227,0.88801,0.76732,0.72668,0.49916,0.45655,0.58474
Mon 09:00,0.71213,0.69451,0.73117,0.71738,0.78905,0.89314,0.77189,0.72729,0.5133,0.48402,0.60523
Mon 09:30,0.71715,0.70448,0.75216,0.75119,0.80227,0.91227,0.7845,0.73309,0.53138,0.51567,0.61587
Mon 10:00,0.71713,0.70521,0.75566,0.76638,0.81364,0.91803,0.78963,0.72951,0.54154,0.53438,0.61761
Mon 10:30,0.7187,0.70433,0.75536,0.77723,0.8168,0.91972,0.79196,0.72262,0.54657,0.54887,0.61578
Mon 11:00,0.71952,0.70115,0.75938,0.77738,0.82079,0.92149,0.7968,0.71742,0.54347,0.55522,0.61455
Mon 11:30,0.72063,0.70668,0.76171,0.77612,0.82585,0.92205,0.80436,0.71745,0.53898,0.55882,0.61249
Mon 12:00,0.72342,0.70949,0.76336,0.77771,0.82696,0.9187,0.81442,0.7208,0.53494,0.55648,0.61168
Mon 12:30,0.72296,0.71317,0.76617,0.77805,0.83113,0.92023,0.822,0.72153,0.53348,0.55981,0.61218
Mon 13:00,0.71571,0.70947,0.76676,0.77493,0.83027,0.91472,0.81879,0.71522,0.52987,0.55602,0.60669
Mon 13:30,0.71099,0.70559,0.76659,0.76848,0.82935,0.90996,0.81274,0.71355,0.52528,0.54251,0.60095
Mon 14:00,0.70553,0.70494,0.76552,0.76703,0.82923,0.90617,0.80558,0.71374,0.5203,0.52725,0.59624
Mon 14:30,0.7055,0.7059,0.76594,0.76973,0.83065,0.90699,0.80319,0.72065,0.52258,0.51934,0.59393
Mon 15:00,0.70366,0.70429,0.76573,0.76986,0.82896,0.90391,0.79787,0.72381,0.5256,0.51272,0.59366
Mon 15:30,0.7024,0.71129,0.77367,0.77851,0.83183,0.90274,0.79213,0.72685,0.53622,0.51133,0.5924
Mon 16:00,0.71742,0.72239,0.79336,0.79479,0.85479,0.91384,0.79906,0.73929,0.55438,0.51498,0.59542
Mon 16:30,0.73888,0.74483,0.82847,0.83233,0.89465,0.92798,0.81479,0.75777,0.57699,0.52409,0.60579
Mon 17:00,0.76089,0.78746,0.85918,0.88992,0.94136,0.95205,0.8335,0.77537,0.60372,0.53482,0.61712
Mon 17:30,0.77855,0.83999,0.87115,0.91202,0.95395,0.98293,0.84886,0.78894,0.62783,0.54361,0.62967
Mon 18:00,0.79395,0.84988,0.8693,0.91392,0.9506,1,0.86195,0.79682,0.64425,0.5508,0.63428
Mon 18:30,0.82146,0.84136,0.85671,0.90167,0.94275,0.99288,0.88715,0.79724,0.65018,0.55199,0.6334
Mon 19:00,0.83229,0.82361,0.8411,0.893,0.92693,0.99862,0.89136,0.80208,0.65251,0.55472,0.62927
Mon 19:30,0.81507,0.79697,0.82169,0.86754,0.90161,0.98523,0.87689,0.79969,0.64955,0.55778,0.6201
Mon 20:00,0.78731,0.76691,0.79431,0.84364,0.87259,0.96135,0.84856,0.80304,0.64199,0.55608,0.61119
Mon 20:30,0.75962,0.74112,0.77317,0.82066,0.84167,0.93154,0.81957,0.79338,0.63816,0.55625,0.60372
Mon 21:00,0.7235,0.70781,0.74763,0.78861,0.80807,0.89733,0.78635,0.76632,0.64128,0.54845,0.59768
Mon 21:30,0.68984,0.67649,0.72048,0.7642,0.76642,0.85776,0.74638,0.73546,0.64454,0.54617,0.60703
Mon 22:00,0.64771,0.63505,0.68372,0.72658,0.71965,0.80985,0.70454,0.69235,0.61872,0.5425,0.599
Mon 22:30,0.60581,0.59881,0.6506,0.69111,0.67852,0.76605,0.66246,0.64685,0.58543,0.54584,0.57051
Mon 23:00,0.5596,0.56044,0.61476,0.65923,0.63803,0.72021,0.61897,0.602,0.54762,0.52189,0.53329
Mon 23:30,0.51579,0.52459,0.57154,0.61915,0.59192,0.67071,0.57609,0.55338,0.50905,0.48379,0.49003
Tue 00:00,0.47578,0.49669,0.54053,0.59146,0.56236,0.64406,0.54975,0.52093,0.47668,0.45039,0.45837
Tue 00:30,0.44857,0.48198,0.53037,0.5822,0.55935,0.64012,0.54435,0.49133,0.4536,0.42362,0.42934
Tue 01:00,0.4316,0.47641,0.52971,0.58402,0.56393,0.64654,0.55034,0.48146,0.44095,0.40808,0.41082
Tue 01:30,0.42934,0.46455,0.51908,0.57596,0.55991,0.64157,0.55302,0.4911,0.44097,0.40072,0.40073
Tue 02:00,0.43533,0.44865,0.50222,0.56241,0.54797,0.63196,0.54437,0.50559,0.44777,0.39806,0.3935
Tue 02:30,0.431,0.43917,0.48402,0.54994,0.54051,0.62343,0.53523,0.50463,0.44281,0.39222,0.38589
Tue 03:00,0.42368,0.43695,0.48203,0.54814,0.53762,0.62427,0.5348,0.49967,0.43359,0.38675,0.37785
Tue 03:30,0.41361,0.42854,0.4704,0.53993,0.52918,0.61746,0.527,0.49405,0.42947,0.38384,0.37402
Tue 04:00,0.40902,0.42102,0.45634,0.52891,0.5199,0.609,0.51711,0.49106,0.42429,0.38386,0.37286
Tue 04:30,0.40848,0.42052,0.44926,0.51932,0.5115,0.60342,0.51276,0.48739,0.41943,0.38441,0.37173
Tue 05:00,0.41221,0.42482,0.44956,0.51827,0.50949,0.60393,0.51689,0.48498,0.42054,0.37777,0.37196
Tue 05:30,0.4272,0.44164,0.46208,0.52298,0.52133,0.61511,0.53054,0.49172,0.42886,0.38453,0.37697
Tue 06:00,0.4493,0.46719,0.48096,0.53463,0.54657,0.63948,0.55633,0.5071,0.44136,0.40445,0.3842
Tue 06:30,0.50463,0.5226,0.52903,0.56614,0.61052,0.70106,0.62288,0.55931,0.49692,0.45343,0.42255
Tue 07:00,0.57366,0.56697,0.57608,0.59504,0.67766,0.77189,0.68005,0.60076,0.55401,0.50463,0.4598
Tue 07:30,0.65538,0.61534,0.63223,0.63049,0.76121,0.85307,0.74447,0.66001,0.62925,0.55989,0.50563
Tue 08:00,0.69201,0.64945,0.67019,0.65183,0.8084,0.8861,0.76818,0.69855,0.6697,0.59473,0.53806
Tue 08:30,0.70745,0.67505,0.70538,0.68433,0.82043,0.89886,0.7764,0.72063,0.68717,0.61915,0.56693
Tue 09:00,0.69874,0.68977,0.72658,0.71956,0.81377,0.90033,0.77093,0.71925,0.68284,0.62466,0.57776
Tue 09:30,0.70217,0.69725,0.74376,0.75207,0.82148,0.91903,0.76785,0.72176,0.68818,0.63204,0.58683
Tue 10:00,0.69861,0.69671,0.74812,0.76743,0.82144,0.92136,0.75563,0.71334,0.68349,0.63514,0.583
Tue 10:30,0.69432,0.69191,0.74812,0.77631,0.81961,0.916,0.74596,0.70069,0.67503,0.63847,0.57921
