"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,64.24853,56.75833,100.9581,105.9994,65.94337,71.29853,70.02777,28.6881,26.59847,12.6675,16.26297
Mon 00:30,58.18107,53.10017,80.30693,93.00027,75.85263,79.27187,65.6715,29.89257,24.07723,12.12617,20.22413
Mon 01:00,60.65143,54.43017,65.4341,62.55667,72.20953,72.48223,59.18943,35.6807,23.014,13.9328,19.09263
Mon 01:30,59.73353,65.2666,65.90047,68.0143,78.3981,87.4994,59.3224,34.34223,18.30713,21.79223,20.82603
Mon 02:00,58.00927,53.80753,62.52227,72.91577,110.0656,124.9936,67.0258,33.89593,24.79077,26.30877,19.99347
Mon 02:30,38.34857,53.92513,59.9698,69.8512,105.2394,110.1431,55.28833,35.87237,26.3175,29.711,19.13663
Mon 03:00,41.26863,38.8695,67.8799,65.69907,92.0326,95.70287,54.53027,68.51537,21.33723,21.99147,16.51947
Mon 03:30,36.47053,39.2205,63.22213,63.64583,72.94697,83.20103,56.0934,59.77577,21.464,20.71613,24.1333
Mon 04:00,46.18923,44.6516,58.67803,58.17537,63.4464,82.87373,118.4718,60.50957,21.53983,24.94493,13.83367
Mon 04:30,36.70747,38.81807,64.92253,63.53093,63.22833,81.613,122.7538,22.1886,22.08743,20.6689,13.53807
Mon 05:00,42.6494,41.6275,58.86137,63.8854,76.28543,77.16147,120.7713,31.4828,27.71207,16.97867,23.0523
Mon 05:30,32.9498,51.7759,48.48703,51.2973,77.2499,86.0899,57.66783,25.00943,20.3741,21.60477,46.00303
Mon 06:00,39.45507,61.7585,47.9269,50.0772,73.4655,91.7769,59.14943,25.5695,18.55857,24.66967,14.4988
Mon 06:30,34.9692,54.26737,56.8609,57.22257,64.83083,78.17013,52.5846,21.9369,17.78093,17.42907,11.0148
Mon 07:00,36.70953,52.3072,58.57133,62.40647,59.44823,73.29283,55.47617,18.53807,22.0091,26.08207,11.55007
Mon 07:30,41.47993,55.02183,58.402,52.5974,65.25363,64.92093,54.4117,22.6716,20.7492,25.80023,13.8167
Mon 08:00,35.98303,47.734,54.2772,57.9883,54.15163,58.6462,49.84037,23.77217,18.02283,16.39923,16.0055
Mon 08:30,34.6237,47.88017,57.45473,60.62193,65.0069,77.5935,49.22017,23.67997,19.23193,14.56213,12.25623
Mon 09:00,38.76557,49.1917,59.306,53.13763,89.27247,109.8974,44.8176,29.1583,21.83043,19.6762,14.6387
Mon 09:30,47.25243,49.90137,55.7523,62.18947,92.341,111.1617,50.5316,26.73183,27.9388,18.3931,18.08687
Mon 10:00,66.86823,56.95223,71.30943,69.4979,99.24137,91.5056,56.28867,28.19443,25.09803,20.5599,17.26167
Mon 10:30,67.1739,63.84797,79.69823,84.0892,110.9186,82.66947,62.8128,49.24583,25.71923,28.21323,24.38973
Mon 11:00,66.558,,76.92293,87.70467,88.99837,84.06593,63.0477,43.6575,23.671,29.73977,26.67973
Mon 11:30,75.1527,82.69707,82.7632,90.5697,84.2449,88.19477,69.46883,36.0698,26.94157,21.28027,24.87737
Mon 12:00,65.75997,84.15777,91.63457,90.29473,84.765,81.37143,78.4555,41.2129,33.4986,16.88283,21.54937
Mon 12:30,66.44707,85.31747,93.92343,92.19263,89.4671,85.52797,83.97803,43.06097,31.10697,19.72263,26.2837
Mon 13:00,59.4611,80.00903,100.2934,92.2696,85.22107,87.8924,72.06273,41.06063,33.2303,29.45017,19.85913
Mon 13:30,60.0718,72.52143,91.45237,94.07837,113.7987,130.8794,79.38523,40.5774,28.88377,33.5043,26.0202
Mon 14:00,52.9206,59.6023,92.38227,89.05557,130.1175,135.7662,71.83193,39.5329,26.51753,29.512,24.11917
Mon 14:30,50.27103,57.66057,78.7192,74.47037,126.3121,123.6844,68.77147,37.1601,36.48153,33.36467,25.1965
Mon 15:00,53.20957,55.78363,70.0207,70.8164,121.1156,109.9429,62.1448,39.90417,30.1817,26.51943,25.63053
Mon 15:30,51.39443,49.2264,70.42083,69.57083,97.82837,103.1616,65.459,29.5721,26.9924,27.7052,27.8157
Mon 16:00,38.55597,58.26393,90.57937,76.78713,98.78357,96.2808,70.0574,34.7861,25.65107,23.55377,21.3838
Mon 16:30,33.48993,53.51473,67.68487,77.54133,85.59103,84.5875,68.104,28.29507,20.542,23.87763,17.22947
Mon 17:00,29.54313,36.981,51.9058,51.33077,77.10093,82.9527,58.15677,19.17993,16.70313,17.00507,15.84497
Mon 17:30,37.77283,36.52723,57.2028,57.94247,78.2228,82.4233,48.78447,61.092,15.13853,21.44957,13.16323
Mon 18:00,35.91633,42.64523,46.6165,53.90847,71.7989,72.28807,47.86623,54.8299,15.87093,15.3371,12.28077
Mon 18:30,42.42957,90.0521,42.08693,49.9043,63.61533,56.4403,110.4872,58.65647,16.4815,12.72763,11.74113
Mon 19:00,41.82553,82.91587,51.90317,60.96833,65.61083,64.45247,123.4022,61.12253,14.5647,13.8665,10.0376
Mon 19:30,38.46773,74.6274,53.81987,61.49017,69.98827,75.73993,120.8199,55.18067,16.98897,13.1393,10.75613
Mon 20:00,38.61823,73.9308,54.03,61.07327,81.12783,72.28677,115.729,54.10933,54.50913,15.10523,10.61737
Mon 20:30,29.40603,73.4935,49.51197,62.4803,80.24073,63.1811,112.4405,53.32487,53.971,13.8403,10.32357
Mon 21:00,24.81613,72.2571,103.0921,108.7674,74.31493,61.61287,112.734,45.4361,56.83677,12.72793,11.28273
Mon 21:30,30.02147,67.6544,101.4062,112.577,67.07793,73.9349,103.956,35.74553,56.93353,12.36577,11.57527
Mon 22:00,35.71287,72.03837,99.33403,98.65427,56.15067,68.13503,91.71087,31.17463,55.4233,13.3847,10.9084
Mon 22:30,35.72567,76.22627,99.09197,89.96597,57.6474,62.80313,69.65963,28.59783,55.7659,13.59227,10.397
Mon 23:00,42.95667,67.18767,99.32647,92.27573,58.42133,59.36717,57.1498,37.39883,55.35237,16.42467,10.50057
Mon 23:30,46.43203,46.59937,100.2439,95.78863,57.14957,54.9348,52.63123,51.67353,67.1702,17.71633,14.87713
Tue 00:00,52.17473,50.54253,105.8846,107.2722,70.1964,66.63623,63.6505,31.03413,27.97113,21.6369,18.67937
Tue 00:30,67.12477,57.1778,88.27927,84.37683,77.0581,85.15293,80.652,25.62433,33.76897,19.0551,21.47397
Tue 01:00,58.21053,64.3479,65.93523,61.9436,78.1155,90.6851,61.63133,30.3043,36.5661,24.61033,27.20723
Tue 01:30,48.64783,53.5668,64.44147,60.90803,87.81263,95.60653,61.25987,32.07213,30.42937,23.91527,31.53033
Tue 02:00,45.7968,51.9405,64.3475,63.3314,124.9935,131.7871,60.39733,27.7525,29.52203,27.0985,19.84397
Tue 02:30,42.33983,44.6556,74.9751,79.0873,123.4555,116.6432,51.3443,24.15973,33.3428,26.6597,21.10717
Tue 03:00,29.7203,45.63273,66.74483,76.59637,91.03457,97.30517,37.73447,60.27103,31.30903,23.00803,26.44373
Tue 03:30,32.65613,44.50743,57.42763,69.26843,92.91253,83.96083,44.15463,62.73653,26.96213,21.48853,17.23343
Tue 04:00,33.51383,43.49847,48.30903,64.53507,76.612,76.87317,94.70747,57.51103,25.44367,19.46773,12.27
Tue 04:30,37.72033,46.25257,59.023,60.9383,75.34633,82.1076,95.14453,24.33687,25.507,17.2623,11.33203
Tue 05:00,23.7647,40.1503,47.7668,73.20587,76.56043,89.04223,102.9531,30.9055,32.83423,22.4922,17.29747
Tue 05:30,29.21647,52.8176,51.2352,75.6315,84.14057,92.19247,38.43807,29.0958,40.04283,27.77547,17.7391
Tue 06:00,29.78677,54.4686,49.38217,62.56773,82.28337,81.38813,36.45673,26.93227,33.20897,19.93223,22.8863
Tue 06:30,25.87693,47.1871,47.86237,57.70127,78.4778,87.97873,38.0075,28.751,27.0267,19.63043,17.32093
Tue 07:00,27.20743,52.80187,44.47503,62.53197,85.71073,93.57097,39.76383,26.9428,27.93233,17.49633,21.7426
Tue 07:30,37.32373,55.13907,44.59343,61.9529,77.33317,86.72407,41.35473,31.5016,27.1068,17.7126,22.8894
Tue 08:00,35.11287,52.93593,52.3845,54.90803,57.9682,60.25763,43.19963,29.5554,35.4191,16.2469,16.41887
Tue 08:30,38.9833,52.31467,47.8826,55.51873,60.56427,70.521,39.09677,26.17307,38.02737,17.96173,16.61647
Tue 09:00,41.21897,44.57157,59.69913,56.05077,92.2146,97.935,36.49283,29.07527,35.23047,19.80217,21.72817
Tue 09:30,44.38473,40.87983,61.53667,60.42013,92.81813,90.30173,41.14057,32.6903,35.13003,26.5648,20.817
Tue 10:00,51.8625,51.5587,68.58183,71.71083,113.5758,80.3559,40.59707,31.11867,33.88013,24.01403,24.33503
Tue 10:30,62.6375,59.4706,77.78363,83.49127,120.3355,89.3665,48.69637,38.6645,34.82233,26.3176,31.5267
Tue 11:00,73.9311,76.29423,81.42463,87.24367,99.5142,80.9552,65.07847,35.6436,38.5279,39.50537,30.27337
Tue 11:30,83.2765,78.1339,87.5132,91.0908,103.9347,86.38483,73.4361,34.5312,38.19233,37.3547,30.62983
Tue 12:00,66.05253,85.1065,88.80493,96.2956,90.66213,96.53577,71.50503,33.65193,34.64823,36.25827,29.05117
Tue 12:30,62.42357,80.51003,92.3247,101.2765,86.73973,98.8444,73.46263,30.4987,33.97913,30.885,24.80667
Tue 13:00,65.62663,83.34167,86.8536,98.37993,84.84323,87.09763,82.55667,34.98797,27.89637,26.46063,27.78353
Tue 13:30,71.53397,70.94477,85.16533,93.9088,122.0386,132.1292,81.13183,37.59947,29.20257,30.85983,24.72543
Tue 14:00,60.02397,69.645,78.71237,79.72643,133.1847,148.6022,76.08737,38.36337,36.49637,34.5833,28.15527
Tue 14:30,55.25117,70.09787,76.3594,76.28797,117.0939,134.7896,74.3155,38.6353,43.34873,34.0652,25.78063
Tue 15:00,52.03867,68.8154,77.80303,72.511,97.37873,120.5285,74.9772,38.92877,31.98717,31.76813,23.53333
Tue 15:30,44.853,63.83143,73.7315,64.47197,91.0172,88.61463,61.4949,28.9749,25.89303,25.2464,22.3158
Tue 16:00,46.2798,67.2941,81.30407,75.77797,98.44803,87.46033,66.1296,32.20117,27.992,22.32377,21.96763
Tue 16:30,32.16777,53.76723,74.3312,69.87183,93.1414,77.3925,62.53017,28.73543,26.50803,19.06283,17.4684
Tue 17:00,32.62547,40.57783,56.63,52.3632,69.74443,72.4947,51.79903,18.73563,22.25697,17.47277,13.15873
Tue 17:30,35.49793,39.9536,51.60847,56.01593,61.51193,93.102,41.44913,55.59263,15.7489,17.4083,13.42227
Tue 18:00,33.59117,38.8558,48.5457,54.60543,55.16103,71.4675,45.46737,56.10687,14.10443,14.5261,10.96727
Tue 18:30,35.92283,89.08277,47.24807,50.81643,55.495,62.37343,103.352,59.333,17.21633,14.3671,9.658733
Tue 19:00,33.48303,96.17187,53.13517,56.78513,73.7521,66.2049,107.0315,60.4356,16.38787,15.6348,9.881967
Tue 19:30,36.00643,93.28483,54.72083,58.16977,79.40943,83.82593,104.9394,54.5915,18.28993,14.10683,9.912167
Tue 20:00,40.79483,84.7022,55.20873,58.1733,81.91597,80.9812,105.3184,53.87347,55.16727,14.7005,9.474733
Tue 20:30,28.8006,83.454,49.9899,53.6936,78.9203,69.8303,102.9563,,53.42057,12.21233,10.69517
Tue 21:00,30.77727,82.48387,110.0953,104.722,75.1963,66.2792,100.6707,48.834,56.30937,10.48613,11.40807
Tue 21:30,27.53123,77.23303,107.4793,98.9524,67.7357,78.07947,94.0176,38.20583,56.53497,10.12053,10.3339
Tue 22:00,37.20383,77.9531,105.1931,97.18803,58.15393,79.12607,82.72097,34.3278,54.95473,10.07077,10.27737
Tue 22:30,41.54,78.26123,98.90017,92.87197,67.02733,59.98397,64.3443,28.86493,53.9349,11.40217,9.8126
Tue 23:00,47.33973,65.07227,92.27313,90.33197,57.51333,54.2978,45.02067,35.5946,53.38703,14.3845,11.0816
Tue 23:30,52.40683,44.51053,92.14703,90.92107,57.55317,62.12023,45.87387,52.1882,60.2497,21.76133,14.7789
Wed 00:00,61.05603,43.70323,99.85627,101.2867,59.941,68.2491,56.62247,26.0194,27.33313,17.2189,14.98827
Wed 00:30,58.74707,62.51467,85.2266,78.30487,72.147,73.58367,71.83547,25.6727,34.15983,23.13683,21.09877
Wed 01:00,73.90543,53.12407,72.0986,58.1671,74.24217,76.03617,66.47533,27.66497,32.46277,13.60393,19.29853
Wed 01:30,45.60687,67.3829,64.07683,51.48963,89.3883,97.66047,56.04583,31.85977,32.99087,21.7247,47.04647
Wed 02:00,48.207,62.1451,73.46953,60.8769,136.4522,125.4832,54.76963,34.28557,41.30417,22.0358,54.48403
Wed 02:30,37.8375,54.9705,76.21963,78.33547,109.4893,101.1439,67.7487,34.4954,24.99457,23.4529,52.13437
Wed 03:00,37.658,48.26313,82.88393,68.22193,92.51293,85.46817,50.36523,58.97763,21.2277,18.8963,52.83103
Wed 03:30,45.63897,46.16887,67.6511,71.12787,91.59833,76.45313,56.6297,58.2381,24.321,19.0809,44.76193
Wed 04:00,46.1644,37.57087,52.80127,66.18367,89.45427,78.76107,100.9393,61.0901,20.39783,13.63683,43.47537
Wed 04:30,40.4209,35.00947,52.0822,55.90347,90.94477,83.2534,97.2876,30.2078,25.35733,14.36407,48.52223
Wed 05:00,53.00037,31.8841,49.5834,56.58903,95.2725,89.50857,101.8188,30.77503,33.163,15.50297,50.19793
Wed 05:30,39.88263,34.3651,45.5506,72.201,98.5614,89.7132,44.6998,30.87523,23.34943,14.59157,50.6393
Wed 06:00,46.7124,44.53027,49.79733,76.60797,,86.24217,44.8007,24.23257,22.92487,16.85637,44.65903
Wed 06:30,35.72517,38.1029,52.0243,66.51173,84.52137,96.7822,55.4446,25.76103,22.52937,22.2427,20.28557
Wed 07:00,41.84813,48.01447,67.128,64.86447,82.01953,81.31737,51.94997,23.49847,20.5742,15.8212,19.7929
Wed 07:30,42.42467,42.2899,59.9762,67.1827,78.61247,67.92103,50.2306,25.03507,19.92067,11.13837,19.54567
Wed 08:00,39.2299,,57.61727,76.87613,63.00203,52.36183,51.2314,22.896,20.5568,14.87317,15.44847
Wed 08:30,38.20973,45.33233,63.6226,77.69477,77.11483,66.44613,52.0222,25.19627,20.55387,14.7835,21.83357
Wed 09:00,49.60133,42.14407,69.47927,64.16713,116.4734,101.3318,52.43673,25.98203,24.69047,23.30977,22.36557
Wed 09:30,58.48347,36.69763,71.4242,65.69013,114.7813,105.0099,52.02857,22.54153,23.40897,23.60067,24.26357
Wed 10:00,65.36587,47.79973,82.43857,71.85427,116.0641,91.37557,53.48997,32.75723,27.60303,20.01413,30.4513
Wed 10:30,72.11697,59.2407,91.73503,77.137,127.8425,77.92587,64.2451,36.66747,39.4495,21.33247,28.25843
Wed 11:00,80.7611,75.1346,95.13373,88.69723,99.8604,79.82147,61.65267,33.8519,42.9075,25.05503,27.73143
Wed 11:30,78.90877,84.25417,101.0104,89.06713,88.9168,94.1503,67.02443,39.65083,29.2978,21.86103,30.0302
Wed 12:00,79.47897,81.38997,95.9623,92.03227,86.0195,98.62703,68.95023,40.6637,44.9977,22.7804,26.9041
Wed 12:30,73.81827,84.7537,99.48597,95.73913,90.7211,99.45243,71.37453,45.25333,39.25533,21.86123,25.7366
Wed 13:00,65.59327,75.23213,98.3006,98.25797,90.751,102.0397,83.86177,47.6811,,25.05833,23.71507
Wed 13:30,68.10913,75.51173,86.01513,86.116,124.164,143.2375,89.27047,40.13577,35.3414,23.75233,22.41897
Wed 14:00,61.56303,76.8024,83.03277,77.17733,149.9015,161.184,92.51333,42.3575,32.45763,27.38303,31.8833
Wed 14:30,59.809,67.2913,75.5328,71.7348,135.7076,152.3357,73.29387,36.735,32.36177,27.106,31.39477
Wed 15:00,60.812,68.64693,76.95777,70.0701,122.8191,127.0878,63.74957,35.1118,32.868,25.168,27.53433
Wed 15:30,48.05357,68.40223,76.19253,60.76163,109.1195,105.5929,62.18443,26.3251,29.01167,21.22087,24.51223
Wed 16:00,41.22443,58.65393,80.5571,56.8026,102.4946,96.49067,74.7479,24.0401,23.48533,22.3679,22.55283
Wed 16:30,34.58053,48.26743,74.26913,53.52323,104.7593,90.98687,67.24657,21.67523,25.31193,18.60533,18.49707
Wed 17:00,29.29467,42.03073,58.8998,51.95617,83.3136,83.13457,46.44667,21.2854,20.3021,16.29187,15.12533
Wed 17:30,42.4946,46.99063,55.835,57.9804,84.1729,86.2376,54.61273,60.5387,19.59283,16.28087,15.70143
Wed 18:00,35.257,43.03853,54.96253,54.01643,83.70227,69.34367,54.3961,56.82137,14.10133,16.63547,13.39633
Wed 18:30,33.659,98.8742,53.80487,56.275,63.55037,68.42673,108.176,59.43773,13.20677,11.8546,12.5138
Wed 19:00,32.01347,101.6573,57.49727,62.61913,73.83963,77.9371,116.8026,62.6015,12.6268,12.9436,12.0399
Wed 19:30,34.75007,89.80227,59.76593,62.22577,82.11553,88.08203,114.457,60.6312,18.10207,13.29637,12.33533
Wed 20:00,33.35667,88.63373,57.57473,62.8071,84.72467,86.4072,115.7555,60.24643,56.18703,12.69733,12.4768
Wed 20:30,29.99303,89.14377,53.59337,62.6701,89.88193,59.0082,113.4157,54.1069,54.7283,15.15983,12.15757
Wed 21:00,27.27757,86.30553,102.9617,113.4399,77.18363,65.7409,112.5508,47.40077,52.95893,14.05583,13.0756
Wed 21:30,32.98383,82.6558,95.63333,106.7919,61.34153,72.12313,107.9446,35.7216,53.04207,12.61433,12.74077
Wed 22:00,39.65443,78.7076,91.9734,97.9434,61.48957,70.8052,94.1492,32.07093,56.19487,11.06447,11.91997
Wed 22:30,43.80867,82.10533,97.19593,93.7886,60.49373,65.11597,76.40603,28.43593,56.94977,12.4273,11.9794
Wed 23:00,51.90833,71.94893,89.5282,87.74717,65.0415,62.5765,59.844,36.69197,61.24027,12.86437,13.69553
Wed 23:30,51.32557,52.97073,93.0558,89.70507,66.69073,58.32077,57.39173,55.52297,63.0107,19.3746,17.5704
Thu 00:00,46.0087,54.49863,103.7232,99.0171,65.24187,65.86483,68.1115,30.1855,29.119,17.31457,12.89013
Thu 00:30,56.6124,54.74227,85.36747,73.99623,85.91643,80.24077,81.56333,26.3217,33.11167,24.59607,21.89577
