"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,0.3986,0.35213,0.62635,0.65763,0.40912,0.44234,0.43446,0.17798,0.16502,0.07859,0.1009
Mon 00:30,0.36096,0.32944,0.49823,0.57698,0.4706,0.49181,0.40743,0.18546,0.14938,0.075232,0.12547
Mon 01:00,0.37629,0.33769,0.40596,0.38811,0.44799,0.44969,0.36722,0.22137,0.14278,0.08644,0.11845
Mon 01:30,0.37059,0.40492,0.40885,0.42197,0.48639,0.54285,0.36804,0.21306,0.11358,0.1352,0.12921
Mon 02:00,0.35989,0.33383,0.38789,0.45238,0.68286,0.77547,0.41583,0.21029,0.1538,0.16322,0.12404
Mon 02:30,0.23792,0.33456,0.37206,0.43336,0.65291,0.68334,0.34301,0.22256,0.16328,0.18433,0.11873
Mon 03:00,0.25603,0.24115,0.42113,0.4076,0.57098,0.59375,0.33831,0.42508,0.13238,0.13644,0.10249
Mon 03:30,0.22627,0.24333,0.39224,0.39486,0.45257,0.51619,0.34801,0.37085,0.13316,0.12852,0.14973
Mon 04:00,0.28656,0.27702,0.36404,0.36093,0.39363,0.51416,0.73501,0.37541,0.13364,0.15476,0.085825
Mon 04:30,0.22774,0.24083,0.40279,0.39415,0.39227,0.50633,0.76158,0.13766,0.13703,0.12823,0.083991
Mon 05:00,0.2646,0.25826,0.36518,0.39635,0.47328,0.47872,0.74928,0.19532,0.17193,0.10534,0.14302
Mon 05:30,0.20442,0.32122,0.30082,0.31825,0.47927,0.53411,0.35778,0.15516,0.1264,0.13404,0.28541
Mon 06:00,0.24478,0.38316,0.29734,0.31068,0.45579,0.56939,0.36697,0.15864,0.11514,0.15305,0.089952
Mon 06:30,0.21695,0.33668,0.35277,0.35501,0.40222,0.48497,0.32624,0.1361,0.11031,0.10813,0.068337
Mon 07:00,0.22775,0.32452,0.36338,0.38718,0.36882,0.45472,0.34418,0.11501,0.13655,0.16182,0.071658
Mon 07:30,0.25735,0.34136,0.36233,0.32632,0.40484,0.40278,0.33757,0.14066,0.12873,0.16007,0.08572
Mon 08:00,0.22324,0.29615,0.33674,0.35976,0.33596,0.36385,0.30921,0.14748,0.11182,0.10174,0.0993
Mon 08:30,0.21481,0.29705,0.35645,0.3761,0.40331,0.4814,0.30537,0.14691,0.11932,0.090345,0.076039
Mon 09:00,0.24051,0.30519,0.36794,0.32967,0.55385,0.68181,0.27805,0.1809,0.13544,0.12207,0.09082
Mon 09:30,0.29316,0.30959,0.34589,0.38583,0.57289,0.68966,0.3135,0.16585,0.17333,0.11411,0.11221
Mon 10:00,0.41486,0.35334,0.44241,0.43117,0.6157,0.56771,0.34922,0.17492,0.15571,0.12756,0.10709
Mon 10:30,0.41675,0.39612,0.49445,0.5217,0.68815,0.51289,0.3897,0.30553,0.15956,0.17504,0.15132
Mon 11:00,0.41293,,0.47724,0.54413,0.55215,0.52155,0.39115,0.27085,0.14686,0.18451,0.16552
Mon 11:30,0.46625,0.51306,0.51347,0.5619,0.52266,0.54717,0.43099,0.22378,0.16715,0.13202,0.15434
Mon 12:00,0.40798,0.52212,0.56851,0.5602,0.52589,0.50484,0.48674,0.25569,0.20783,0.10474,0.13369
Mon 12:30,0.41224,0.52932,0.58271,0.57197,0.55506,0.53062,0.52101,0.26715,0.19299,0.12236,0.16307
Mon 13:00,0.3689,0.49638,0.62223,0.57245,0.52872,0.54529,0.44708,0.25474,0.20616,0.18271,0.12321
Mon 13:30,0.37269,0.44993,0.56738,0.58367,0.70602,0.81199,0.49251,0.25175,0.1792,0.20786,0.16143
Mon 14:00,0.32832,0.36978,0.57315,0.55251,0.80726,0.84231,0.44565,0.24527,0.16452,0.1831,0.14964
Mon 14:30,0.31189,0.35773,0.48838,0.46202,0.78365,0.76735,0.42666,0.23054,0.22633,0.207,0.15632
Mon 15:00,0.33012,0.34609,0.43441,0.43935,0.75141,0.6821,0.38555,0.24757,0.18725,0.16453,0.15901
Mon 15:30,0.31886,0.3054,0.4369,0.43162,0.60694,0.64002,0.40611,0.18347,0.16746,0.17189,0.17257
Mon 16:00,0.2392,0.36147,0.56196,0.47639,0.61286,0.59733,0.43464,0.21582,0.15914,0.14613,0.13267
Mon 16:30,0.20777,0.33201,0.41992,0.48107,0.53101,0.52479,0.42252,0.17555,0.12744,0.14814,0.10689
Mon 17:00,0.18329,0.22943,0.32203,0.31846,0.47834,0.51465,0.36081,0.11899,0.10363,0.1055,0.098304
Mon 17:30,0.23435,0.22662,0.35489,0.35948,0.4853,0.51136,0.30266,0.37902,0.093921,0.13308,0.081666
Mon 18:00,0.22283,0.26457,0.28921,0.33445,0.44545,0.44848,0.29697,0.34017,0.098465,0.095153,0.076191
Mon 18:30,0.26324,0.55869,0.26111,0.30961,0.39468,0.35016,0.68547,0.36391,0.10225,0.078963,0.072843
Mon 19:00,0.25949,0.51442,0.32201,0.37825,0.40706,0.39987,0.7656,0.37921,0.090361,0.086029,0.062274
Mon 19:30,0.23866,0.46299,0.3339,0.38149,0.43421,0.4699,0.74958,0.34235,0.1054,0.081517,0.066732
Mon 20:00,0.23959,0.45867,0.33521,0.3789,0.50332,0.44847,0.71799,0.3357,0.33818,0.093714,0.065871
Mon 20:30,0.18244,0.45596,0.30718,0.38763,0.49782,0.39198,0.69759,0.33083,0.33484,0.085866,0.064048
Mon 21:00,0.15396,0.44829,0.63959,0.6748,0.46106,0.38225,0.69941,0.28189,0.35262,0.078965,0.069999
Mon 21:30,0.18626,0.41973,0.62913,0.69844,0.41616,0.4587,0.64495,0.22177,0.35322,0.076718,0.071814
Mon 22:00,0.22157,0.44693,0.61628,0.61206,0.34836,0.42272,0.56898,0.19341,0.34385,0.08304,0.067677
Mon 22:30,0.22165,0.47291,0.61478,0.55816,0.35765,0.38964,0.43217,0.17742,0.34598,0.084328,0.064504
Mon 23:00,0.26651,0.41684,0.61623,0.57249,0.36245,0.36832,0.35456,0.23203,0.34341,0.1019,0.065146
Mon 23:30,0.28807,0.28911,0.62192,0.59428,0.35456,0.34082,0.32653,0.32059,0.41673,0.10991,0.092299
Tue 00:00,0.3237,0.31357,0.65692,0.66553,0.4355,0.41342,0.39489,0.19254,0.17354,0.13424,0.11589
Tue 00:30,0.41645,0.35474,0.54769,0.52348,0.47808,0.5283,0.50037,0.15898,0.20951,0.11822,0.13323
Tue 01:00,0.36114,0.39922,0.40907,0.3843,0.48464,0.56262,0.38237,0.18801,0.22686,0.15268,0.1688
Tue 01:30,0.30182,0.33233,0.3998,0.37788,0.5448,0.59315,0.38006,0.19898,0.18879,0.14837,0.19562
Tue 02:00,0.28413,0.32224,0.39922,0.39291,0.77547,0.81762,0.37471,0.17218,0.18316,0.16812,0.12311
Tue 02:30,0.26268,0.27705,0.46515,0.49066,0.76593,0.72366,0.31854,0.14989,0.20686,0.1654,0.13095
Tue 03:00,0.18439,0.28311,0.41409,0.47521,0.56479,0.60369,0.23411,0.37393,0.19424,0.14274,0.16406
Tue 03:30,0.2026,0.27613,0.35629,0.42975,0.57644,0.5209,0.27394,0.38922,0.16728,0.13332,0.10692
Tue 04:00,0.20792,0.26987,0.29971,0.40038,0.47531,0.47693,0.58757,0.3568,0.15785,0.12078,0.076124
Tue 04:30,0.23402,0.28696,0.36618,0.37807,0.46746,0.5094,0.59029,0.15099,0.15825,0.1071,0.070305
Tue 05:00,0.14744,0.2491,0.29635,0.45418,0.47499,0.55243,0.63873,0.19174,0.20371,0.13954,0.10732
Tue 05:30,0.18126,0.32769,0.31787,0.46922,0.52202,0.57197,0.23847,0.18051,0.24843,0.17232,0.11005
Tue 06:00,0.1848,0.33793,0.30637,0.38818,0.51049,0.50494,0.22618,0.16709,0.20603,0.12366,0.14199
Tue 06:30,0.16054,0.29275,0.29694,0.35798,0.48688,0.54583,0.2358,0.17837,0.16768,0.12179,0.10746
Tue 07:00,0.1688,0.32759,0.27593,0.38795,0.53176,0.58052,0.2467,0.16716,0.17329,0.10855,0.13489
Tue 07:30,0.23156,0.34209,0.27666,0.38436,0.47978,0.53804,0.25657,0.19544,0.16817,0.10989,0.14201
Tue 08:00,0.21784,0.32842,0.325,0.34065,0.35964,0.37384,0.26801,0.18336,0.21974,0.1008,0.10186
Tue 08:30,0.24186,0.32456,0.29707,0.34444,0.37575,0.43752,0.24256,0.16238,0.23593,0.11144,0.10309
Tue 09:00,0.25573,0.27653,0.37038,0.34774,0.57211,0.6076,0.2264,0.18039,0.21857,0.12285,0.1348
Tue 09:30,0.27537,0.25362,0.38178,0.37485,0.57585,0.56024,0.25524,0.20281,0.21795,0.16481,0.12915
Tue 10:00,0.32176,0.31987,0.42549,0.4449,0.70463,0.49854,0.25187,0.19306,0.2102,0.14899,0.15098
Tue 10:30,0.38861,0.36896,0.48258,0.51799,0.74657,0.55444,0.30212,0.23988,0.21604,0.16328,0.19559
Tue 11:00,0.45868,0.47334,0.50517,0.54127,0.61739,0.50225,0.40375,0.22114,0.23903,0.24509,0.18782
Tue 11:30,0.51665,0.48475,0.54294,0.56514,0.64482,0.53594,0.4556,0.21423,0.23695,0.23175,0.19003
Tue 12:00,0.4098,0.52801,0.55095,0.59743,0.56248,0.59892,0.44362,0.20878,0.21496,0.22495,0.18024
Tue 12:30,0.38728,0.49949,0.57279,0.62833,0.53814,0.61324,0.45577,0.18922,0.21081,0.19161,0.1539
Tue 13:00,0.40715,0.51706,0.53885,0.61036,0.52637,0.54036,0.51219,0.21707,0.17307,0.16416,0.17237
Tue 13:30,0.4438,0.44015,0.52837,0.58262,0.75714,0.81974,0.50335,0.23327,0.18118,0.19146,0.1534
Tue 14:00,0.37239,0.43208,0.48834,0.49463,0.82629,0.92194,0.47205,0.23801,0.22643,0.21456,0.17468
Tue 14:30,0.34278,0.43489,0.47374,0.4733,0.72646,0.83625,0.46106,0.2397,0.26894,0.21134,0.15995
Tue 15:00,0.32285,0.42694,0.4827,0.44986,0.60415,0.74777,0.46517,0.24152,0.19845,0.19709,0.146
Tue 15:30,0.27827,0.39602,0.45744,0.39999,0.56468,0.54977,0.38152,0.17976,0.16064,0.15663,0.13845
Tue 16:00,0.28712,0.4175,0.50442,0.47013,0.61078,0.54261,0.41027,0.19978,0.17366,0.1385,0.13629
Tue 16:30,0.19957,0.33358,0.46116,0.43349,0.57786,0.48015,0.38794,0.17828,0.16446,0.11827,0.10838
Tue 17:00,0.20241,0.25175,0.35134,0.32487,0.4327,0.44976,0.32137,0.11624,0.13808,0.1084,0.081638
Tue 17:30,0.22023,0.24788,0.32018,0.34753,0.38163,0.57761,0.25715,0.3449,0.097708,0.108,0.083273
Tue 18:00,0.2084,0.24106,0.30118,0.33878,0.34222,0.44339,0.28208,0.34809,0.087505,0.090121,0.068042
Tue 18:30,0.22287,0.55268,0.29313,0.31527,0.3443,0.38697,0.6412,0.36811,0.10681,0.089135,0.059924
Tue 19:00,0.20773,0.59666,0.32966,0.3523,0.45756,0.41074,0.66403,0.37495,0.10167,0.097,0.061309
Tue 19:30,0.22339,0.57875,0.33949,0.36089,0.49266,0.52006,0.65105,0.33869,0.11347,0.08752,0.061496
