"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,12.6625,13.162,17.685,18.287,17.178,17.656,16.028,14.804,14.268,14.344,12.404
Mon 00:30,12.1447,12.116,16.069,17.1889,16.154,16.812,14.388,15.252,13.688,13.992,11.62
Mon 01:00,11.1658,11.202,14.109,16.442,14.58,16.132,14.112,14.388,13.144,12.888,12.216
Mon 01:30,10.7934,10.63,13.9779,15.962,14.244,15.444,13.992,13.944,11.784,11.944,10.516
Mon 02:00,10.7208,10.522,13.015,15.384,13.748,15.412,13.76,13.072,11.312,11.472,10.784
Mon 02:30,10.2339,10.53,12.713,14.5429,13.176,15.852,13.28,12.38,11.283,11.028,9.856
Mon 03:00,10.4786,11.09,12.643,14.475,12.758,14.408,13.212,12.44,10.972,10.872,10.384
Mon 03:30,11.3355,11.648,13.9199,15.777,14.572,15.868,14.632,13.024,10.984,10.368,10.752
Mon 04:00,12.0499,12.208,14.002,16.8011,14.5,16.584,14.928,13.848,11.344,9.512,11.012
Mon 04:30,13.3595,13.102,14.778,16.1859,15.594,17.468,16.564,14.288,11.436,9.296,11.752
Mon 05:00,15.4545,16.05,15.714,18.0421,19.33,20.492,18.724,16.42,12.168,10.956,12.4
Mon 05:30,18.5169,17.61,19.192,19.383,22.716,25.036,22.812,19.316,12.176,11.588,12.952
Mon 06:00,22.6007,19.232,21.62,21.0761,24.546,28.36,24.28,20.56,14.432,11.96,13.896
Mon 06:30,25.0112,22.468,22.388,22.479,30.906,30.632,25.92,27.468,15.248,13.292,15.916
Mon 07:00,23.161,21.564,24.3099,24.1111,27.248,29.892,26.464,25.8,17.296,16.984,17.096
Mon 07:30,20.8979,21.81,25.076,25.5751,25.442,27.984,23.424,25.396,20.632,17.788,17.428
Mon 08:00,21.1425,21.82,26.8451,29.322,26.07,26.636,22.788,23.092,22.832,20.664,18.252
Mon 08:30,19.8941,20.334,26.219,28.6259,22.522,28.204,22.396,24.112,21.888,24.204,19.3
Mon 09:00,18.132,19.712,25.153,28.8497,24.434,27.788,23.38,21.824,23.468,22.028,16.568
Mon 09:30,18.704,20.404,25.0889,29.198,23.02,25.46,24.504,20.62,23.008,22.664,18.992
Mon 10:00,18.89,19.552,26.2,31.512,24.58,28.072,23.256,21.448,24.688,23.128,17.316
Mon 10:30,19.834,21.244,25.708,30.7219,23.686,27.624,23.544,20.44,21.804,22.896,16.572
Mon 11:00,20.614,20.792,27.401,30.5819,24.278,27.496,23.944,22.144,22.964,22.716,17.52
Mon 11:30,21.394,19.034,26.823,30.448,24.68,27.928,24.136,21.248,21.584,23.5,17.96
Mon 12:00,20.508,19.67,26.5,29.378,23.412,29.064,24.412,20.912,20.788,22.308,17.092
Mon 12:30,20.082,19.07,28.3039,29.6301,25.888,27.404,23,20.664,20.256,21.984,18.06
Mon 13:00,19.714,18.098,28.0039,28.3561,24.79,27.58,23.348,22.212,22.608,19.872,16.924
Mon 13:30,18.972,18.068,28.6969,28.9569,26.554,28.328,24.84,21.448,22.228,20.14,16.328
Mon 14:00,18.74,19.044,29.563,28.3648,25.7325,29.088,23.856,22.336,21.172,19.764,17.392
Mon 14:30,20.29,19.024,29.3029,30.806,26.402,27.66,23.468,22.256,21.88,20.9,17.472
Mon 15:00,23.502,21.892,32.1029,33.808,31.55,35.084,26.812,25.324,23.456,21.368,18.336
Mon 15:30,26.14,27.322,37.136,39.0691,36.74,34.908,28.88,27.596,25.808,21.192,18.432
Mon 16:00,28.63,33.226,40.1301,42.9899,39.968,38.068,32.884,31.44,27.536,23.496,21.64
Mon 16:30,32.972,38.488,42.9731,47.212,44.012,47.224,40.48,35.732,31.788,26.052,22.7
Mon 17:00,38.562,42.482,45.246,46.8462,44.514,49.628,44.128,38.568,33.988,27.624,26.972
Mon 17:30,41.478,43.936,45.158,46.5091,46.384,49.74,46.568,37.392,34.572,28.812,26.432
Mon 18:00,41.644,38.802,43.7699,45.434,45.524,49.288,45.608,42.98,34.212,27.988,28.62
Mon 18:30,38.772,37.036,41.7662,43.6682,42.012,48.252,44.86,38.392,31.116,25.972,26.052
Mon 19:00,35.662,34.264,40.638,39.417,38.008,45.964,40.292,40.044,33.48,25.76,24.448
Mon 19:30,34.572,33.08,38.1462,38.0991,37.29,41.696,37.388,38.356,31.756,24.156,25.212
Mon 20:00,32.578,29.722,38.511,37.1501,35.632,42.276,34.688,35.884,32.4,25.484,25.256
Mon 20:30,28.636,26.236,34.6201,33.4731,31.528,36.18,32.556,33.372,31.068,24.676,25.756
Mon 21:00,26.98,25.3,31.4471,32.4261,28.742,33.972,32.588,28.488,27.316,24.764,25.8
Mon 21:30,23.598,22.27,29.356,30.844,26.506,31.584,28.2,27.448,24.48,24.776,23.012
Mon 22:00,19.416,19.236,26.026,27.118,23.228,27.956,23.976,23.464,21.14,21.876,19.108
Mon 22:30,16.728,16.96,22.563,25.304,20.574,24.8,20.512,19.388,17.54,17.032,16.7
Mon 23:00,14.436,15.256,19.419,22.823,18.818,22.22,17.532,16.352,15.652,14.792,14.616
Mon 23:30,13.102,13.844,18.37,21.004,16.47,19.928,16.724,15.3,13.716,13.512,13.576
Tue 00:00,12.324,13.752,16.9261,18.547,17.018,18.336,15.804,15.02,12.888,12.608,13.384
Tue 00:30,11.932,12.266,15.699,18.1081,14.528,17.86,14.864,14.616,12.868,11.852,11.98
Tue 01:00,12.322,11.746,14.093,16.306,14.008,16.772,14.052,14.276,13.06,12.04,12.224
Tue 01:30,11.486,11.342,13.538,16.127,13.524,16.032,13.196,14.156,11.628,11.12,11.404
Tue 02:00,11.444,11.072,12.949,16.119,12.654,15.7,12.656,12.932,10.436,10.716,10.568
Tue 02:30,10.8,10.522,12.244,15.617,13.166,15.548,12.992,12.812,10.448,10.616,10.616
Tue 03:00,10.28,11.044,12.308,15.5411,12.526,15.292,13.876,12.612,10.712,10.352,10.248
Tue 03:30,11.36,11.876,13.664,15.766,13.652,15.94,14.132,13.532,10.94,10.028,11.292
Tue 04:00,12.442,13.004,14.516,16.384,15.42,16.352,13.636,13.784,11.044,9.472,10.832
Tue 04:30,13.264,14.81,14.406,16.14,15.332,18.464,16.236,14.084,12.676,10.292,10.5915
Tue 05:00,16.352,15.84,15.911,18.096,17.956,19.336,18.58,16.212,13.808,11.432,11.5
Tue 05:30,19.446,16.776,18.321,19.219,21.59,22.896,21.384,18.488,16.66,13.712,13.712
Tue 06:00,22.56,18.59,20.2429,20.251,24.046,28.144,24.64,20.12,18.208,17.392,14.3
Tue 06:30,25.562,20.506,23.926,22.23,27.88,31.176,28.212,24.972,22.752,17.536,16.62
Tue 07:00,22.104,20.718,23.536,23.4971,28.786,28.684,25.06,25.028,22.512,18.568,17.252
Tue 07:30,19.126,21.41,25.992,25.7669,25.158,28.316,22.836,24.128,22.124,16.992,18.28
Tue 08:00,19.764,21.022,26.5049,26.7009,23.338,26.772,21.532,24.624,20.288,16.328,18.884
Tue 08:30,20.296,20.494,24.5679,29.7631,21.8,26.708,20.476,22.072,21.424,16.14,16.972
Tue 09:00,19.584,21.348,24.519,30.393,21.206,26.1,20.072,20.648,19.888,16.012,17.844
Tue 09:30,18.878,19.944,25.2809,31.491,20.71,27.364,19.764,20.16,18.34,15.052,17.152
Tue 10:00,19.606,18.558,25.5681,29.7701,21.27,27.944,19.268,19.364,20.76,15.744,17.26
Tue 10:30,20.274,18.732,28.0129,32.8029,20.848,27.74,18.208,21.028,19.8444,15.56,17.64
Tue 11:00,20.704,20.056,27.277,32.3529,22.844,26.804,19.764,20.044,18.524,14.9657,17.148
Tue 11:30,20.062,18.592,27.286,34.2601,22.314,26.36,20.256,20.187,16.064,15.3014,18.328
Tue 12:00,19.634,17.932,26.688,35.947,22.898,27.244,20.44,20.644,19.8657,16.8991,16.552
Tue 12:30,19.114,17.998,28.5789,33.544,22.778,26.796,17.94,19.176,17.6047,16.5359,16.944
Tue 13:00,19.216,17.878,29.146,32.904,23.024,26.264,19.312,18.876,18.684,17.8274,17.824
Tue 13:30,19.026,18.306,28.0719,31.3429,23.858,26.236,20.552,19.72,18.084,15.4296,15.876
Tue 14:00,19.334,19.6,28.4269,31.097,22.738,26.328,19.228,21.076,17.516,16.3957,17.024
Tue 14:30,20.672,20.484,30.349,33.5,25.822,26.128,20.22,19.636,16.552,15.3005,16.38
Tue 15:00,22.072,23.428,32.509,34.851,30.108,30.728,20.7,20.576,20.756,17.1521,15.808
Tue 15:30,25.386,27.574,37.404,40.425,34.346,34.512,24.676,24.016,23.304,18.164,18.352
Tue 16:00,29.168,33.124,40.5031,43.497,39.76,38.724,28.7,27.868,23.552,22.176,20.944
Tue 16:30,33.596,37.142,42.33,46.654,41.752,44.668,33.568,29.652,28.352,23.096,23.208
Tue 17:00,37.944,39.354,44.5762,49.0609,45.554,48.728,37.856,31.004,29.292,26.288,25.488
Tue 17:30,40.636,37.942,44.801,49.449,43.956,51.048,44.38,35.048,32.212,26.324,24.5
Tue 18:00,39.75,35.758,42.0421,46.8131,46.61,50.024,46.428,34.68,32.172,28.096,25.54
Tue 18:30,38.406,34.904,41.849,45.0442,42.102,47.16,43.536,35.36,33.752,26.664,25.684
Tue 19:00,36.786,32.208,38.2289,43.308,42.578,45.58,40.948,39.488,30.3,23.26,24.144
Tue 19:30,35.1,31.448,37.296,41.7221,39.074,42.64,36.868,36.088,30.04,23.744,25.384
Tue 20:00,31.096,29.274,35.196,38.7199,37.184,41.996,34.968,35.952,30.332,24.524,26.224
Tue 20:30,28.668,26.936,32.9549,36.243,33.85,37.388,32.216,32.18,29.676,24.868,25.632
Tue 21:00,26.234,23.974,30.9508,33.338,32.322,34.324,29.408,29.464,27.364,25.452,25.296
Tue 21:30,23.384,22.344,29.4581,30.7891,28.8,32.148,25.724,27.88,25.3,23.048,22.58
Tue 22:00,20.278,19.254,26.3561,27.765,24.552,26.968,24.012,25.372,21.94,21.176,19.536
Tue 22:30,16.888,17.152,23.401,25.4551,22.508,22.62,20.872,20.228,17.56,16.948,16.796
Tue 23:00,14.614,15.266,19.445,22.4791,19.078,20.04,18.736,16.456,15.336,14.908,14.184
Tue 23:30,13.232,13.128,18.465,20.549,17.432,18.524,16.592,15.376,14.068,13.464,13.252
Wed 00:00,12.936,13.268,17.8691,19.025,17.11,17.92,16.28,14.284,13.8,13.036,12.612
Wed 00:30,12.11,11.808,15.906,16.833,15.718,16.764,15.064,14.856,13.096,13.244,11.616
Wed 01:00,12.706,11.19,15.239,16.064,15.042,15.66,14.176,14.428,12.756,11.744,11.7
Wed 01:30,11.65,11,13.9361,15.454,13.898,14.912,13.908,13.36,12.256,10.58,10.284
Wed 02:00,11.63,10.446,12.802,15.342,14.362,15.28,13.04,13.156,11.8085,10.42,10.432
Wed 02:30,10.512,10.01,12.924,15.082,13.548,14.712,12.864,12.904,10.872,10.332,9.92
Wed 03:00,10.982,10.854,13.3859,15.094,13.708,14.188,12.296,12.516,10.2,10.06,9.78
Wed 03:30,12.31,11.132,13.684,15.832,14.846,15.968,13.82,14.14,11.36,10.528,10.596
Wed 04:00,12.458,11.718,13.792,16.845,15.556,16.204,15.1,14.32,11.764,9.837,11.192
Wed 04:30,13.896,13.242,14.983,17.382,17.05,18.78,15.5,14.332,12.58,11.02,11.028
Wed 05:00,17.794,15.432,15.857,18.305,18.772,20.148,18.848,15.808,13.436,11.708,12.528
Wed 05:30,21.342,16.738,18.1681,20.12,23.684,23.752,22.808,17.908,15.896,12.552,13.348
Wed 06:00,24.032,18.92,19.3921,21.192,27.48,30.252,26.688,24.036,20.128,16.768,14.488
Wed 06:30,26.888,22.224,21.4811,23.0721,29.24,32.78,25.944,24.364,21.344,18.244,15.264
Wed 07:00,24.942,20.972,23.4778,23.6632,29.71,30.44,26.472,24.672,21.036,18.684,17.072
Wed 07:30,21.99,22.39,25.2929,25.468,27.102,27.192,22.188,24.02,20.428,17.16,18.224
Wed 08:00,20.968,21.852,27.8009,28.3239,23.836,25.428,22.62,22.936,19.728,19.516,17.248
Wed 08:30,20.328,22.744,29.7922,30.484,24.556,27.824,21.24,21.084,18.412,16.872,17.012
Wed 09:00,19.842,22.39,31.4539,32.6669,25.336,25.3,21.528,19.68,18.268,16.884,18.984
Wed 09:30,19.15,21.622,31.1769,31.916,25.146,24.592,19.984,20.204,18.888,16.84,17.472
Wed 10:00,18.528,21.42,32.0521,33.0708,24.736,24.856,19.676,19.732,17.848,18.28,15.964
Wed 10:30,18.746,20.984,33.2381,31.9429,22.826,25.156,20.028,20.032,18.812,16.548,16.252
Wed 11:00,19.014,21.584,30.1311,31.8768,24.76,25.28,19.896,20.968,18.948,17.064,17.704
Wed 11:30,19.16,22.158,32.84,33.9939,24.276,23.7,19.668,21.572,19.44,18.24,17.58
Wed 12:00,18.184,22,32.606,31.5111,24.062,25.88,20.068,19.136,18.86,16.132,17.612
Wed 12:30,19.072,21.632,31.349,31.142,23.758,25.736,19.48,19.148,20.344,17.748,17.036
Wed 13:00,18.27,20.006,31.0539,34.385,25.036,25.236,20.7,21.564,19.852,16.4464,15.004
Wed 13:30,18.154,20.398,34.6829,34.4619,25.666,25.94,20.42,20.284,18.288,17.936,15.424
Wed 14:00,19.886,22.722,34.5741,33.952,25.936,27.192,19.292,18.488,18.1526,15.692,15.756
Wed 14:30,21.144,25.484,34.437,34.346,28.1,27.488,20.084,20.004,17.484,16.544,18.088
Wed 15:00,23.448,26.378,36.1161,38.021,30.05,30.932,23.284,24.788,21.376,18.509,18.968
Wed 15:30,26.334,29.996,38.944,42.481,34.57,35.248,28.188,27.184,21.356,21.192,19.944
Wed 16:00,30.684,34.162,43.142,47.0921,39.578,39.24,31.228,29.324,26.008,21.32,21.244
Wed 16:30,35.656,38.558,44.684,48.4028,45.054,45.368,35.54,31.876,27.324,23.988,26.08
Wed 17:00,39.61,40.858,44.673,47.387,47.798,48.844,40.36,33.856,31.032,27.308,29.1
Wed 17:30,40.224,41.138,44.72,46.1311,47.99,52.884,42.816,36.0823,33.624,25.716,30.628
Wed 18:00,40.19,38.992,43.2899,45.2901,46.108,49.912,45.26,38.94,32.148,26.092,28.704
Wed 18:30,37.014,36.672,42.294,41.832,44.55,48.54,40.056,38.348,31.764,25.168,28.188
Wed 19:00,35.724,33.776,41.252,37.5651,41.324,45.18,40.836,41.552,32.732,24.384,24.196
Wed 19:30,34.602,31.596,37.948,36.063,38.924,42.096,36.804,37.292,29.184,25.416,26.512
Wed 20:00,31.748,29.414,37.4961,33.465,39.344,42.252,35.432,37.252,34.216,24.632,25.604
Wed 20:30,29.092,27.602,35.977,32.171,33.72,37.76,30.968,34.756,31.664,23.784,26.348
Wed 21:00,26.648,25.074,33.5548,30.3552,31.146,35.184,30.716,30.06,28.512,24.576,24.112
Wed 21:30,24.062,22.198,31.4208,29.675,27.658,30.584,27.256,28.372,26.892,25.224,22.396
Wed 22:00,19.704,19.73,28.0011,28.679,25.654,26.784,24.008,24.428,21.208,20.016,21
Wed 22:30,16.624,18.004,26.2501,27.7652,22.048,23.248,20.644,20.312,19.832,17.92,16.728
Wed 23:00,14.998,15.876,22.7941,25.13,19.776,19.272,18.416,17.996,14.784,14.996,14.308
Wed 23:30,13.882,14.574,20.717,24.78,18.034,18.304,16.148,16.016,14.44,13.368,13.536
Thu 00:00,12.868,13.816,18.8881,24.088,17.464,17.624,15.696,14.032,14.22,13.48,11.712
Thu 00:30,12.424,11.782,17.282,20.942,16.074,16.608,14.024,14.14,14.356,12.1,11.676
Thu 01:00,12.676,11.1,16.5911,19.316,14.972,15.492,13.952,13.62,13.932,12.192,11.988
Thu 01:30,11.51,10.938,14.714,17.872,14.41,15.152,12.824,13.436,11.356,11.08,11.144
Thu 02:00,11.66,10.178,14.169,16.478,14.404,15.988,12.676,12.788,11.328,10.48,10.156
Thu 02:30,11.41,10.606,14.531,15.378,13.812,15.36,12.584,12.6,11.884,10.248,10.18
Thu 03:00,11.126,10.802,14.494,14.574,13.948,14.16,12.12,11.796,10.924,10.176,10.132
Thu 03:30,11.48,11.654,14.946,15.328,14.754,15.264,13.6,13.816,12.36,10.82,10.728
Thu 04:00,12.468,12.498,14.892,16.682,15.15,16.712,14.312,12.512,12.604,10.16,10.252
Thu 04:30,14.264,13.108,15.568,17.248,15.948,18.28,15.12,14.06,13.212,11.1,11.7
Thu 05:00,17.454,15.284,16.635,16.212,18.502,19.516,16.728,16.852,15.892,12.136,11.544
Thu 05:30,20.86,17.85,18.2299,16.326,23.328,22.244,20.856,20.632,16.212,14.624,12.772
Thu 06:00,23.514,19.668,22.2851,17.116,25.288,27.78,23.532,23.984,20.26,16.328,14.42
Thu 06:30,26.584,20.62,27.105,17.83,31.566,30.312,27.152,25.16,22.604,18.94,17.312
Thu 07:00,23.578,21.434,28.3641,17.802,30.472,31.16,23.048,22.804,24.132,17.336,17.532
Thu 07:30,22.23,21.236,33.4191,18.856,25.188,27.972,23.272,23.396,22.724,16.784,19.124
Thu 08:00,21.508,19.454,36.4609,21.208,23.644,26.448,22.624,22.408,20.4,17.852,18.288
Thu 08:30,18.702,20.632,38.8919,23.824,23.696,25.632,20.284,21.824,20.172,16.956,16.228
Thu 09:00,19.778,20.192,41.266,24.916,23.98,26.572,20.288,21.484,18.828,17.216,17.712
Thu 09:30,18.77,19.618,41.388,28.218,23.058,26.896,20,21.764,17.808,16.404,17.156
Thu 10:00,19.052,20.286,41.0409,31.568,22.828,25.548,19.664,21.588,16.9114,15.472,18.476
Thu 10:30,18.6,21.398,43.6819,33.166,26.212,25.928,17.932,23.228,18.3949,17.264,16.952
Thu 11:00,18.132,20.636,45.2279,34.122,26.016,28.336,19.128,21.78,19.547,17.012,17.852
Thu 11:30,20.358,20.218,44.943,35.392,23.604,27.264,17.796,21.576,19.1971,16.784,17.532
Thu 12:00,19.686,20.022,45.9569,35.446,24.528,27.72,19.1,20.792,18.4182,17.192,16.5115
Thu 12:30,18.632,19.276,44.789,35.386,22.94,25.656,18.696,20.752,16.9465,16.668,17.42
Thu 13:00,19.144,18.714,42.9621,37.038,24.252,26.9,19.236,21.608,17.116,17.44,16.112
Thu 13:30,19.128,18.742,41.357,35.382,25.454,26.252,21.148,21.436,17.544,16.872,15.692
Thu 14:00,20.004,19.78,39.668,37.708,24.056,25.192,19.472,21.252,16.055,16.432,16.288
Thu 14:30,22.526,20.864,35.628,38.18,26.182,25.28,19.676,20.552,17.02,16.0315,14.8785
Thu 15:00,23.842,24.774,36.545,38.846,28.81,30.472,22.864,20.392,19.7,18.736,17.768
Thu 15:30,26.726,29.328,37.169,40.45,34.382,31.772,26.248,23.464,20.468,20.968,18.6995
Thu 16:00,30.358,33.816,37.7989,41.5,40.08,37.74,28.196,25.924,23.008,21.884,19.504
Thu 16:30,34.594,38.714,37.023,45.014,43.08,43.864,32.764,28.336,25.52,23.6,24.784
Thu 17:00,37.468,39.7,34.6241,43.984,45.156,47.44,38.628,33.464,30.484,26.04,24.672
Thu 17:30,39.994,38.404,34.6001,42.962,46.82,46.964,40.732,32.016,27.196,25.172,25.312
Thu 18:00,39.998,37.454,33.906,40.724,48.27,47.268,42.276,33.916,27.304,25.388,25.02
Thu 18:30,37.328,35.07,33.5669,40.7,46.574,45.984,40.852,33.792,28.252,24.976,24.332
