"Time","week before switch to BST","first week after switch to BST","Christmas week","New Year week","mid Jan week","week with maximum Demand","spring week before switch to BST","Easter Week, first week of BST","May Bank Holiday","mid Summer Week","summer Holiday"
Mon 00:00,0.26978,0.32275,0.51469,0.57845,0.5388,0.57728,0.48815,0.36683,0.29361,0.2401,0.22754
Mon 00:30,0.26643,0.29321,0.46909,0.55531,0.51693,0.54611,0.45405,0.34735,0.26292,0.23311,0.20647
Mon 01:00,0.27553,0.26713,0.43598,0.52417,0.46979,0.52799,0.45039,0.43624,0.30363,0.21394,0.19789
Mon 01:30,0.26175,0.25366,0.41489,0.51157,0.46546,0.52886,0.42487,0.4205,0.29035,0.20313,0.19113
Mon 02:00,0.24478,0.23493,0.41958,0.5069,0.41592,0.49396,0.4011,0.38225,0.24869,0.19033,0.17499
Mon 02:30,0.24218,0.23103,0.39052,0.47977,0.42944,0.4841,0.37136,0.37263,0.25465,0.19773,0.17252
Mon 03:00,0.24182,0.22857,0.38935,0.48587,0.42181,0.4643,0.37566,0.32175,0.25958,0.18389,0.17077
Mon 03:30,0.24237,0.23859,0.37997,0.48802,0.4098,0.48951,0.39299,0.33972,0.26268,0.19749,0.18143
Mon 04:00,0.2565,0.26923,0.38812,0.50839,0.44363,0.52465,0.41755,0.36731,0.24368,0.1792,0.18628
Mon 04:30,0.27149,0.30875,0.39837,0.48897,0.45699,0.54723,0.4294,0.39712,0.24734,0.16791,0.18683
Mon 05:00,0.30853,0.32933,0.41895,0.50344,0.47826,0.53888,0.44888,0.42352,0.25974,0.19375,0.21744
Mon 05:30,0.37486,0.36247,0.45156,0.49447,0.5027,0.62315,0.48752,0.46287,0.27182,0.19097,0.26737
Mon 06:00,0.44629,0.38028,0.43914,0.46995,0.54289,0.61941,0.5217,0.42813,0.29138,0.20687,0.28971
Mon 06:30,0.45349,0.36198,0.43811,0.48297,0.56444,0.66306,0.48728,0.56003,0.31094,0.22356,0.31118
Mon 07:00,0.42477,0.35904,0.45939,0.48213,0.51809,0.57386,0.4841,0.4973,0.34211,0.28375,0.28128
Mon 07:30,0.38522,0.38854,0.49525,0.49159,0.48136,0.52846,0.41191,0.48338,0.35514,0.29878,0.29234
Mon 08:00,0.34005,0.35461,0.51588,0.56092,0.44626,0.48068,0.40674,0.42423,0.38305,0.32716,0.30991
Mon 08:30,0.32918,0.35196,0.4877,0.5971,0.48235,0.50143,0.38074,0.3592,0.391,0.37701,0.26856
Mon 09:00,0.30573,0.33559,0.49381,0.59479,0.40269,0.52457,0.38893,0.37136,0.39649,0.39855,0.26848
Mon 09:30,0.27115,0.33535,0.4777,0.61798,0.41107,0.49308,0.36254,0.37104,0.40118,0.379,0.31038
Mon 10:00,0.29083,0.3274,0.47192,0.60471,0.41696,0.46136,0.40833,0.37184,0.42193,0.43457,0.28057
Mon 10:30,0.30434,0.31965,0.46059,0.62255,0.40316,0.42304,0.39068,0.32509,0.39593,0.38679,0.28665
Mon 11:00,0.30152,0.32855,0.40529,0.6221,0.43282,0.46812,0.42837,0.34791,0.37633,0.44069,0.26451
Mon 11:30,0.32748,0.35021,0.45471,0.62345,0.42483,0.44594,0.42097,0.36914,0.34839,0.35952,0.27739
Mon 12:00,0.33491,0.3047,0.47144,0.58268,0.41406,0.50978,0.39943,0.35427,0.29952,0.35636,0.25759
Mon 12:30,0.3357,0.29591,0.47664,0.57134,0.42304,0.48807,0.38369,0.328,0.32505,0.38271,0.29432
Mon 13:00,0.32752,0.33499,0.48586,0.60827,0.45293,0.4899,0.44888,0.38178,0.32954,0.36969,0.25658
Mon 13:30,0.31825,0.33734,0.50932,0.66213,0.49074,0.55533,0.49412,0.38742,0.33541,0.32279,0.27453
Mon 14:00,0.34827,0.34032,0.5367,0.6387,0.49563,0.57036,0.49006,0.3464,0.31342,0.33574,0.27119
Mon 14:30,0.35701,0.34862,0.55859,0.6375,0.49614,0.54738,0.44252,0.3743,0.38377,0.34982,0.22869
Mon 15:00,0.38408,0.40432,0.60694,0.66213,0.60681,0.57887,0.51765,0.43123,0.38615,0.35079,0.29114
Mon 15:30,0.47535,0.4676,0.68004,0.69973,0.64599,0.61186,0.5648,0.49086,0.38369,0.38266,0.30323
Mon 16:00,0.52842,0.60109,0.77189,0.8179,0.78483,0.78121,0.67459,0.58245,0.49992,0.44077,0.41
Mon 16:30,0.63126,0.69952,0.78613,0.86946,0.84273,0.87645,0.70337,0.64279,0.55223,0.4612,0.41867
Mon 17:00,0.67888,0.7114,0.80856,0.92557,0.8297,0.93179,0.8014,0.73024,0.55629,0.47853,0.47591
Mon 17:30,0.7172,0.71041,0.794,0.92944,0.85774,0.96987,0.82946,0.76181,0.59787,0.49308,0.48474
Mon 18:00,0.69999,0.66938,0.77965,0.85304,0.83024,0.93043,0.75751,0.76268,0.59095,0.443,0.47058
Mon 18:30,0.64486,0.62927,0.7727,0.82189,0.82586,0.91453,0.7696,0.79583,0.58475,0.41358,0.46732
